Entity,Code,Year,Outbound departures (tourists)
Brazil,BRA,1995,2600000.0
Brazil,BRA,2000,3228000.0
Brazil,BRA,2005,3364000.0
Brazil,BRA,2010,6457000.0
Brazil,BRA,2015,9478000.0
China,CHN,1995,4520000.0
China,CHN,2000,10473000.0
China,CHN,2005,31026000.0
China,CHN,2010,57386000.0
China,CHN,2015,127860000.0
Norway,NOR,1995,590000.0
Norway,NOR,2000,2394000.0
Norway,NOR,2005,3166000.0
Norway,NOR,2010,7590000.0
Norway,NOR,2015,8750000.0
Norway,NOR,2021,1860000.0
United States,USA,1995,51285000.0
United States,USA,2000,61327000.0
United States,USA,2005,63503000.0
United States,USA,2010,61061000.0
United States,USA,2015,74191000.0
