Entity,Code,Year,Share of global annual CO₂ emissions including land-use change
Brazil,BRA,1920,5.0579157
Brazil,BRA,1940,3.1903687
Brazil,BRA,1960,6.8702683
Brazil,BRA,1980,6.914708
Brazil,BRA,2000,7.4469185
Brazil,BRA,2022,3.8506486
China,CHN,1920,4.2503724
China,CHN,1940,2.6016073
China,CHN,1960,8.191213
China,CHN,1980,8.993122
China,CHN,2000,13.993977
China,CHN,2022,29.85615
European Union (27),,1850,9.948486
European Union (27),,1860,12.335363
European Union (27),,1880,14.101539
European Union (27),,1900,16.121992
European Union (27),,1920,13.431047
European Union (27),,1940,14.52905
European Union (27),,1960,12.685802
European Union (27),,1980,16.364435
European Union (27),,2000,11.026157
European Union (27),,2022,6.3681955
India,IND,1860,3.8374376
India,IND,1880,2.7150028
India,IND,1900,1.9199032
India,IND,1920,3.6848893
India,IND,1940,5.496655
India,IND,1960,3.6497772
India,IND,1980,2.0274022
India,IND,2000,3.7850091
India,IND,2022,6.908033
Indonesia,IDN,1900,9.246078
Indonesia,IDN,1920,6.10833
Indonesia,IDN,1940,5.063894
Indonesia,IDN,1960,2.8803744
Indonesia,IDN,1980,1.3331109
Indonesia,IDN,2000,3.6202302
Indonesia,IDN,2022,3.973727
United Kingdom,GBR,1850,4.608692
United Kingdom,GBR,1860,5.3151937
United Kingdom,GBR,1880,7.9153686
United Kingdom,GBR,1900,7.218562
United Kingdom,GBR,1920,6.006104
United Kingdom,GBR,1940,4.809009
United Kingdom,GBR,1960,3.7354648
United Kingdom,GBR,1980,2.4346151
United Kingdom,GBR,2000,1.8449857
United Kingdom,GBR,2022,0.8070118
United States,USA,1850,29.099663
United States,USA,1860,31.861528
United States,USA,1880,41.296295
United States,USA,1900,34.61195
United States,USA,1920,36.335976
United States,USA,1940,24.316507
United States,USA,1960,19.039864
United States,USA,1980,21.241068
United States,USA,2000,19.91052
United States,USA,2022,12.540005
