Entity,Code,Year,regime_amb_row_owid
Dominican Republic,DOM,1789,0
Dominican Republic,DOM,1850,2
Dominican Republic,DOM,1900,3
Dominican Republic,DOM,1950,0
Dominican Republic,DOM,2000,6
Dominican Republic,DOM,2018,5
Dominican Republic,DOM,2022,6
Laos,LAO,1789,0
Laos,LAO,1850,0
Laos,LAO,1900,0
Laos,LAO,1950,3
Laos,LAO,2000,0
Laos,LAO,2018,0
Laos,LAO,2022,0
Sao Tome and Principe,STP,1900,0
Sao Tome and Principe,STP,1950,0
Sao Tome and Principe,STP,2000,7
Sao Tome and Principe,STP,2018,7
Sao Tome and Principe,STP,2022,7
Vietnam,VNM,1950,3
Vietnam,VNM,2000,0
Vietnam,VNM,2018,0
Vietnam,VNM,2022,0
