Entity,Code,Year,"Age-standardized deaths that are from cardiovascular diseases per 100,000 people, in both sexes aged all ages"
Cyprus,CYP,2000,177.823
Cyprus,CYP,2010,133.20065
Dominican Republic,DOM,1970,100.771965
Dominican Republic,DOM,1980,169.89824
Dominican Republic,DOM,1990,178.9669
Dominican Republic,DOM,2000,135.3624
Dominican Republic,DOM,2010,142.70337
France,FRA,1950,319.75244
France,FRA,1960,288.52542
France,FRA,1970,257.9462
France,FRA,1980,219.71951
France,FRA,1990,152.611
France,FRA,2000,123.24474
France,FRA,2010,83.51001
Guatemala,GTM,1970,133.46228
Guatemala,GTM,1980,128.77698
Guatemala,GTM,1990,140.52219
Guatemala,GTM,2000,132.72223
Guatemala,GTM,2010,127.315865
Kuwait,KWT,1980,411.14746
Kuwait,KWT,2000,291.7579
Kuwait,KWT,2010,199.70015
Lebanon,LBN,2021,61.361748
Netherlands,NLD,1950,333.98767
Netherlands,NLD,1960,330.09955
Netherlands,NLD,1970,331.08563
Netherlands,NLD,1980,268.29214
Netherlands,NLD,1990,216.74393
Netherlands,NLD,2000,174.07285
Netherlands,NLD,2010,107.90192
North Macedonia,MKD,2000,458.725
North Macedonia,MKD,2010,411.49393
North Macedonia,MKD,2021,286.9352
Russia,RUS,1980,540.51624
Russia,RUS,1990,501.47797
Russia,RUS,2000,602.8271
Russia,RUS,2010,508.66122
Saint Lucia,LCA,1980,295.66846
Saint Lucia,LCA,1990,409.3163
Saint Lucia,LCA,2000,171.73302
Saint Lucia,LCA,2010,200.70564
