Entity,Code,Year,Revenue from corporate income taxes (% GDP) (ICTD GRD (2019))
Cape Verde,CPV,1980,0.6946431
Cape Verde,CPV,1985,1.105195
Cape Verde,CPV,1995,1.276841
Cape Verde,CPV,2000,1.3542489
Cape Verde,CPV,2005,2.3777164
Cape Verde,CPV,2010,2.3432146
Cape Verde,CPV,2015,2.7343474
Morocco,MAR,1980,1.9849885
Morocco,MAR,1985,1.4322143
Morocco,MAR,1990,2.1860955
Morocco,MAR,1995,1.5441664
Morocco,MAR,2000,2.4519432
Morocco,MAR,2005,3.5416617
Morocco,MAR,2010,4.7792789
Morocco,MAR,2015,4.2245421
Morocco,MAR,2017,4.8449633
Norway,NOR,1980,5.5985472
Norway,NOR,1985,7.2142218
Norway,NOR,1990,3.6302777
Norway,NOR,1995,3.6897637
Norway,NOR,2000,8.7656261
Norway,NOR,2005,11.5311674
Norway,NOR,2010,9.8982165
Norway,NOR,2015,4.3914602
Paraguay,PRY,1990,1.2224182
Paraguay,PRY,1995,2.245652
Paraguay,PRY,2000,1.5497238
Paraguay,PRY,2005,1.4363278
Paraguay,PRY,2010,1.6237365
Paraguay,PRY,2015,2.0143769
Paraguay,PRY,2017,2.210674
Peru,PER,1980,4.8431373
Peru,PER,1990,0.6241308
Peru,PER,1995,1.9521824
Peru,PER,2000,1.6928585
Peru,PER,2005,3.232342
Peru,PER,2010,4.5867528
Peru,PER,2015,3.8701598
Peru,PER,2017,3.4010065
Zimbabwe,ZWE,1980,4.7558824
Zimbabwe,ZWE,1985,3.5461538
Zimbabwe,ZWE,1990,3.8902326
Zimbabwe,ZWE,1995,4.1813312
