Entity,Code,Year,egaldem_vdem_owid,egaldem_vdem_high_owid,egaldem_vdem_low_owid
Argentina,ARG,1900,0.165,0.197,0.134
Argentina,ARG,1920,0.276,0.317,0.227
Argentina,ARG,1940,0.18,0.206,0.143
Argentina,ARG,1960,0.37,0.418,0.32
Argentina,ARG,1980,0.123,0.145,0.098
Argentina,ARG,2000,0.673,0.737,0.62
Argentina,ARG,2022,0.642,0.705,0.586
Australia,AUS,1920,0.549,0.621,0.487
Australia,AUS,1940,0.51,0.563,0.438
Australia,AUS,1960,0.665,0.735,0.608
Australia,AUS,1980,0.759,0.817,0.695
Australia,AUS,2000,0.79,0.846,0.742
Australia,AUS,2022,0.726,0.786,0.678
Botswana,BWA,1900,0.02,0.028,0.008
Botswana,BWA,1920,0.02,0.029,0.008
Botswana,BWA,1940,0.021,0.029,0.008
Botswana,BWA,1960,0.029,0.039,0.014
Botswana,BWA,1980,0.384,0.445,0.32
Botswana,BWA,2000,0.513,0.565,0.447
Botswana,BWA,2022,0.399,0.454,0.338
China,CHN,1900,0.013,0.018,0.005
China,CHN,1920,0.058,0.073,0.038
China,CHN,1940,0.07,0.089,0.049
China,CHN,1960,0.141,0.167,0.119
China,CHN,1980,0.128,0.152,0.105
China,CHN,2000,0.109,0.127,0.081
China,CHN,2022,0.088,0.11,0.068
