Entity,Code,Year,Share - Question: mh3b - How much science helps to treat anxiety or depression - Answer: A lot - Gender: all - Age group: all,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2020,34.72943,,1360677453.0,
Algeria,DZA,2020,21.883717,10844.7705,43451668.0,
Argentina,ARG,2020,32.27841,19685.217,45036032.0,
Asia,,2020,30.256565,,4663086623.0,
Austria,AUT,2020,25.481304,51988.414,8907780.0,
Belgium,BEL,2020,41.44885,48978.934,11561716.0,
Benin,BEN,2020,19.24251,3186.478,12643121.0,
Bolivia,BOL,2020,29.514961,7679.933,11936169.0,
Brazil,BRA,2020,37.485664,14021.958,213196304.0,
Bulgaria,BGR,2020,11.719275,22483.598,6979181.0,
Burkina Faso,BFA,2020,28.126577,2093.7336,21522632.0,
China,CHN,2020,28.66689,16296.779,1424929792.0,
Congo,COG,2020,24.969625,3384.6543,5702183.0,
Costa Rica,CRI,2020,44.63786,19824.348,5123107.0,
Egypt,EGY,2020,35.58408,11380.847,107465128.0,
Ethiopia,ETH,2020,48.597286,2253.2358,117190920.0,
Europe,,2020,26.696373,,747462669.0,
France,FRA,2020,30.506567,42233.14,64480052.0,
Germany,DEU,2020,27.324726,51840.33,83328992.0,
Ghana,GHA,2020,38.18427,5263.5264,32180402.0,
Greece,GRC,2020,22.181662,27103.541,10512232.0,
Guinea,GIN,2020,23.705845,2604.1172,13205157.0,
Hong Kong,HKG,2020,11.859692,55888.688,7500955.0,
India,IND,2020,32.733875,6114.0317,1396387072.0,
Indonesia,IDN,2020,24.767134,11515.74,271857984.0,
Iran,IRN,2020,32.613842,14432.362,87290192.0,
Iraq,IRQ,2020,41.893307,8919.798,42556988.0,
Ireland,IRL,2020,36.090324,91099.75,4946123.0,
Israel,ISR,2020,23.803692,39351.895,8757487.0,
Italy,ITA,2020,21.278467,39065.28,59500576.0,
Japan,JPN,2020,14.890145,39935.465,125244760.0,
Kazakhstan,KAZ,2020,28.090082,25361.508,18979250.0,
Kenya,KEN,2020,34.09549,4498.383,51985780.0,
Laos,LAO,2020,23.47141,7763.9487,7319397.0,
Latvia,LVA,2020,16.05256,30568.502,1897057.0,
Lithuania,LTU,2020,27.443499,37166.41,2820269.0,
Mali,MLI,2020,43.00417,2123.8281,21224042.0,
Malta,MLT,2020,54.41445,40740.97,515364.0,
Mexico,MEX,2020,41.755096,18327.99,125998296.0,
Morocco,MAR,2020,46.432285,7545.995,36688768.0,
Myanmar,MMR,2020,25.982208,4947.0938,53423200.0,
Nepal,NPL,2020,29.127508,3761.8027,29348626.0,
Nicaragua,NIC,2020,44.816994,5181.727,6755900.0,
Nigeria,NGA,2020,21.405302,4865.087,208327408.0,
North America,,2020,32.965313,,594263186.0,
North Macedonia,MKD,2020,18.73578,15782.548,2111078.0,
Oceania,,2020,34.530952,,43933757.0,
Peru,PER,2020,29.370092,11176.919,33304768.0,
Philippines,PHL,2020,50.64162,7773.2603,112190984.0,
Poland,POL,2020,31.032385,32546.826,38428368.0,
Romania,ROU,2020,37.578926,29062.473,19442040.0,
Russia,RUS,2020,19.16482,26583.797,145617328.0,
Saudi Arabia,SAU,2020,37.82684,42891.688,35997108.0,
Senegal,SEN,2020,51.775894,3383.8884,16436120.0,
South Africa,ZAF,2020,48.650986,12815.909,58801928.0,
South America,,2020,35.64003,,431530105.0,
South Korea,KOR,2020,35.89851,42396.76,51844688.0,
Spain,ESP,2020,41.47452,35967.89,47363808.0,
Sweden,SWE,2020,33.52477,51331.28,10368968.0,
Tanzania,TZA,2020,45.38723,2551.2063,61704520.0,
Thailand,THA,2020,20.861624,16848.584,71475664.0,
Turkey,TUR,2020,40.14767,28473.205,84135432.0,
Uganda,UGA,2020,21.671116,2240.4902,44404608.0,
Ukraine,UKR,2020,16.360046,12407.79,43909664.0,
United States,USA,2020,29.667114,60167.855,335942016.0,
Uruguay,URY,2020,35.034195,21828.64,3429087.0,
Vietnam,VNM,2020,42.6651,10450.622,96648680.0,
