Entity,Code,Year,Share of the population using safely managed drinking water services
Belgium,BEL,2000,99.63135
Belgium,BEL,2005,99.631355
Belgium,BEL,2010,99.63966
Belgium,BEL,2015,99.68124
Belgium,BEL,2020,99.72281
Belgium,BEL,2022,99.73945
Guadeloupe,GLP,2005,98.23443
Guadeloupe,GLP,2010,98.466545
Guadeloupe,GLP,2015,97.721146
Guadeloupe,GLP,2020,96.31794
Guadeloupe,GLP,2022,95.709625
Guinea-Bissau,GNB,2000,17.774654
Guinea-Bissau,GNB,2005,19.261614
Guinea-Bissau,GNB,2010,20.731943
Guinea-Bissau,GNB,2015,22.16104
Guinea-Bissau,GNB,2020,23.516802
Guinea-Bissau,GNB,2022,23.871601
New Zealand,NZL,2000,84.39357
New Zealand,NZL,2005,84.39357
New Zealand,NZL,2010,89.29714
New Zealand,NZL,2015,94.200714
New Zealand,NZL,2020,99.10429
New Zealand,NZL,2022,100.0
Philippines,PHL,2000,40.57443
Philippines,PHL,2005,44.532215
Philippines,PHL,2010,45.236443
Philippines,PHL,2015,46.314632
Philippines,PHL,2020,47.428127
Philippines,PHL,2022,47.901905
