Entity,Code,Year,"Deaths that are from all causes attributed to ambient particulate matter pollution per 100,000 people, in both sexes aged age-standardized",Population (historical estimates),Continent,"Deaths that are from all causes attributed to ambient particulate matter pollution per 100,000 people, in both sexes aged age-standardized.1",Year.1
Afghanistan,AFG,1990,30.822693,10694804.0,,56.89574,2019.0
Afghanistan,AFG,2019,56.89574,37769496.0,,56.89574,2019.0
Africa,,1990,,638157571.0,,,
Africa,,2019,,1327701380.0,,,
Algeria,DZA,1990,103.24321,25518074.0,,76.5304,2019.0
Algeria,DZA,2019,76.5304,42705372.0,,76.5304,2019.0
Angola,AGO,1990,17.729208,11828643.0,,45.035427,2019.0
Angola,AGO,2019,45.035427,32353592.0,,45.035427,2019.0
Asia,,1990,,3210563750.0,,,
Asia,,2019,,4627738749.0,,,
Australia,AUS,1990,12.423027,17048002.0,,4.0612926,2019.0
Australia,AUS,2019,4.0612926,25357168.0,,4.0612926,2019.0
Austria,AUT,1990,43.039875,7678732.0,,12.220256,2019.0
Austria,AUT,2019,12.220256,8879939.0,,12.220256,2019.0
Azerbaijan,AZE,1990,69.11961,7427840.0,,108.391365,2019.0
Azerbaijan,AZE,2019,108.391365,10232761.0,,108.391365,2019.0
Bahrain,BHR,1990,195.64314,517429.0,,103.71416,2019.0
Bahrain,BHR,2019,103.71416,1494195.0,,103.71416,2019.0
Bhutan,BTN,1990,17.848352,558449.0,,53.6307,2019.0
Bhutan,BTN,2019,53.6307,767467.0,,53.6307,2019.0
Bolivia,BOL,1990,67.69061,7096195.0,,47.557804,2019.0
Bolivia,BOL,2019,47.557804,11777318.0,,47.557804,2019.0
Bulgaria,BGR,1990,109.540695,8767778.0,,62.766975,2019.0
Bulgaria,BGR,2019,62.766975,7052536.0,,62.766975,2019.0
Cambodia,KHM,1990,21.253975,8910806.0,,32.99185,2019.0
Cambodia,KHM,2019,32.99185,16207746.0,,32.99185,2019.0
China,CHN,1990,77.149734,1153704192.0,,81.28263,2019.0
China,CHN,2019,81.28263,1421864064.0,,81.28263,2019.0
Colombia,COL,1990,39.076584,32601396.0,,24.3433,2019.0
Colombia,COL,2019,24.3433,50187404.0,,24.3433,2019.0
Czechia,CZE,1990,96.556786,10301190.0,,28.813595,2019.0
Czechia,CZE,2019,28.813595,10536876.0,,28.813595,2019.0
Egypt,EGY,1990,170.55301,57214632.0,,157.46751,2019.0
Egypt,EGY,2019,157.46751,105618672.0,,157.46751,2019.0
Equatorial Guinea,GNQ,1990,21.023695,465560.0,,82.23035,2019.0
Equatorial Guinea,GNQ,2019,82.23035,1553037.0,,82.23035,2019.0
Ethiopia,ETH,1990,11.823259,47878076.0,,18.908281,2019.0
Ethiopia,ETH,2019,18.908281,114120592.0,,18.908281,2019.0
Europe,,1990,,722286138.0,,,
Europe,,2019,,747418251.0,,,
Germany,DEU,1990,48.829018,79370192.0,,13.023377,2019.0
Germany,DEU,2019,13.023377,83148144.0,,13.023377,2019.0
Ghana,GHA,1990,43.479504,15446987.0,,79.77846,2019.0
Ghana,GHA,2019,79.77846,31522294.0,,79.77846,2019.0
Hungary,HUN,1990,80.51642,10375989.0,,35.311867,2019.0
Hungary,HUN,2019,35.311867,9771799.0,,35.311867,2019.0
India,IND,1990,60.74597,870452160.0,,95.63995,2019.0
India,IND,2019,95.63995,1383112064.0,,95.63995,2019.0
Indonesia,IDN,1990,37.3135,182159888.0,,55.955513,2019.0
