Entity,Code,Year,Daily caloric supply (OWID based on UN FAO & historical sources),Overweight or Obese (NCDRisC (2017)),Population (historical estimates),Continent
Africa,,2014,2624.316674474765,,1170299297.0,
Algeria,DZA,2014,3377.0,51.5,38760168.0,
Argentina,ARG,2014,3245.0,66.6,42824064.0,
Asia,,2014,2779.58118618096,,4412496398.0,
Austria,AUT,2014,3672.0,62.5,8546066.0,
Bangladesh,BGD,2014,2494.0,14.1,155961312.0,
Belgium,BEL,2014,3789.0,66.9,11176727.0,
Belize,BLZ,2014,2627.0,46.3,352343.0,
Bermuda,BMU,2014,,68.9,63375.0,
Bolivia,BOL,2014,2310.0,49.0,10916991.0,
Botswana,BWA,2014,2385.0,30.8,2260383.0,
Brazil,BRA,2014,3303.0,55.2,203459648.0,
Central African Republic,CAF,2014,1769.0,12.7,4798739.0,
Chile,CHL,2014,3008.0,64.7,17687108.0,
China,CHN,2014,3151.0,38.7,1385189632.0,
Colombia,COL,2014,2922.0,54.2,46677944.0,
Congo,COG,2014,2221.0,22.2,4944865.0,
Egypt,EGY,2014,3388.0,55.5,95592328.0,
Ethiopia,ETH,2014,2250.0,10.3,99746768.0,
Europe,,2014,3381.4990970700032,,742190861.0,
Fiji,FJI,2014,2751.0,59.0,915576.0,
French Polynesia,PYF,2014,2958.0,82.6,289880.0,
Gabon,GAB,2014,2754.0,33.9,1966858.0,
Germany,DEU,2014,3541.0,64.0,81858824.0,
Ghana,GHA,2014,2982.0,21.9,28196356.0,
Guatemala,GTM,2014,2447.0,48.1,15713744.0,
Haiti,HTI,2014,2143.0,30.9,10412741.0,
India,IND,2014,2460.0,16.4,1307246464.0,
Indonesia,IDN,2014,2819.0,19.7,256229760.0,
Iran,IRN,2014,3105.0,56.5,79961672.0,
Iraq,IRQ,2014,2597.0,53.7,36746484.0,
Jamaica,JAM,2014,2714.0,48.3,2784542.0,
Japan,JPN,2014,2720.0,28.8,127476728.0,
Jordan,JOR,2014,2866.0,62.5,8658030.0,
Kazakhstan,KAZ,2014,3178.0,59.9,17592296.0,
Kenya,KEN,2014,2183.0,17.1,45831860.0,
Kyrgyzstan,KGZ,2014,2713.0,45.2,5814426.0,
Malaysia,MYS,2014,2831.0,37.5,30606454.0,
Mauritius,MUS,2014,3040.0,36.5,1292112.0,
Mexico,MEX,2014,3132.0,63.6,118755888.0,
Myanmar,MMR,2014,2653.0,14.6,51072436.0,
Namibia,NAM,2014,2369.0,26.7,2243008.0,
Niger,NER,2014,2556.0,11.2,19372012.0,
Nigeria,NGA,2014,2626.0,23.6,179379024.0,
North America,,2014,3412.963387870096,,565486685.0,
Oceania,,2014,3148.882025520549,,39729340.0,
Oman,OMN,2014,2989.0,60.9,4009272.0,
Pakistan,PAK,2014,2429.0,21.0,208251632.0,
Peru,PER,2014,2738.0,52.7,30353956.0,
Romania,ROU,2014,3417.0,63.9,19995836.0,
Russia,RUS,2014,3365.0,60.3,144285072.0,
Samoa,WSM,2014,2974.0,73.4,201769.0,
Serbia,SRB,2014,2807.0,59.3,7543965.0,
Solomon Islands,SLB,2014,2376.0,38.9,597386.0,
South America,,2014,3083.066636022972,,409128901.0,
South Korea,KOR,2014,3333.0,37.9,50558044.0,
Spain,ESP,2014,3163.0,67.1,46464548.0,
Trinidad and Tobago,TTO,2014,2987.0,51.2,1450663.0,
Uganda,UGA,2014,2127.0,12.5,36336544.0,
United Kingdom,GBR,2014,3376.0,67.7,64773504.0,
United States,USA,2014,3717.0,72.8,322033952.0,
Uzbekistan,UZB,2014,2964.0,46.8,30446542.0,
Venezuela,VEN,2014,2610.0,62.2,30193260.0,
Vietnam,VNM,2014,2853.0,15.8,91235504.0,
World,OWID_WRL,2014,2895.239696332302,38.3,7339013632.0,
Yemen,YEM,2014,2156.0,36.8,27753310.0,
Zambia,ZMB,2014,2013.0,18.5,15737796.0,
