Entity,Code,Year,Deaths - Interpersonal violence - Sex: Both - Age: 15-49 years (Rate)
Canada,CAN,1990,3.14
Canada,CAN,1995,2.37
Canada,CAN,2000,1.99
Canada,CAN,2005,2.53
Canada,CAN,2010,2.61
Canada,CAN,2015,2.33
Canada,CAN,2019,2.24
Denmark,DNK,1990,2.11
Denmark,DNK,1995,2.28
Denmark,DNK,2000,2.18
Denmark,DNK,2005,1.68
Denmark,DNK,2010,1.17
Denmark,DNK,2015,0.89
Denmark,DNK,2019,0.93
Germany,DEU,1990,1.56
Germany,DEU,1995,1.8
Germany,DEU,2000,1.33
Germany,DEU,2005,1.0
Germany,DEU,2010,0.89
Germany,DEU,2015,0.79
Germany,DEU,2019,0.8
Italy,ITA,1990,4.05
Italy,ITA,1995,2.64
Italy,ITA,2000,1.93
Italy,ITA,2005,1.55
Italy,ITA,2010,1.25
Italy,ITA,2015,1.04
Italy,ITA,2019,1.04
Sweden,SWE,1990,2.17
Sweden,SWE,1995,1.94
Sweden,SWE,2000,1.8
Sweden,SWE,2005,1.68
Sweden,SWE,2010,1.65
Sweden,SWE,2015,1.79
Sweden,SWE,2019,1.53
United Kingdom,GBR,1990,1.36
United Kingdom,GBR,1995,1.45
United Kingdom,GBR,2000,1.04
United Kingdom,GBR,2005,1.16
United Kingdom,GBR,2010,0.78
United Kingdom,GBR,2015,0.63
United Kingdom,GBR,2019,0.67
United States,USA,1990,15.41
United States,USA,1995,13.64
United States,USA,2000,9.93
United States,USA,2005,10.28
United States,USA,2010,8.74
United States,USA,2015,8.98
United States,USA,2019,8.54
