Entity,Code,Year,Nuclear - % electricity
Angola,AGO,2000,0.0
Angola,AGO,2005,0.0
Angola,AGO,2010,0.0
Angola,AGO,2015,0.0
Angola,AGO,2020,0.0
North America (EI),,1985,14.456784
North America (EI),,1990,17.818485
North America (EI),,1995,19.04902
North America (EI),,2000,17.986433
North America (EI),,2005,17.8252
North America (EI),,2010,17.915064
North America (EI),,2015,17.886831
North America (EI),,2020,17.85071
North America (EI),,2022,16.395775
OECD (EI),,1985,19.282959
OECD (EI),,1990,22.184164
OECD (EI),,1995,23.592854
OECD (EI),,2000,22.692776
OECD (EI),,2005,21.985954
OECD (EI),,2010,20.793127
OECD (EI),,2015,17.920336
OECD (EI),,2020,17.136839
OECD (EI),,2022,15.755019
United Arab Emirates,ARE,1985,0.0
United Arab Emirates,ARE,1990,0.0
United Arab Emirates,ARE,1995,0.0
United Arab Emirates,ARE,2000,0.0
United Arab Emirates,ARE,2005,0.0
United Arab Emirates,ARE,2010,0.0
United Arab Emirates,ARE,2015,0.0
United Arab Emirates,ARE,2020,1.1870949
United Arab Emirates,ARE,2022,12.989531
Yemen,YEM,2000,0.0
Yemen,YEM,2005,0.0
Yemen,YEM,2010,0.0
Yemen,YEM,2015,0.0
Yemen,YEM,2020,0.0
