Entity,Code,Year,Deaths - Cause: Natural disasters - Sex: Both sexes - Age group: ALLAges
India,IND,2000,2345.89
India,IND,2001,21436.86
India,IND,2002,907.84
India,IND,2003,659.42
India,IND,2004,18199.91
India,IND,2005,3868.62
India,IND,2006,1412.48
India,IND,2007,2088.27
India,IND,2008,1765.14
India,IND,2009,1795.26
India,IND,2010,1002.83
India,IND,2011,830.77
India,IND,2012,335.91
India,IND,2013,6560.35
India,IND,2014,889.31
India,IND,2015,1145.43
India,IND,2016,815.65
India,IND,2017,2061.69
India,IND,2018,1319.33
India,IND,2019,2037.28
