Entity,Code,Year,Vitamin A supplementation coverage rate (% of children ages 6-59 months)
Bangladesh,BGD,2000,85.0
Bangladesh,BGD,2005,82.0
Bangladesh,BGD,2010,0.0
Bangladesh,BGD,2015,99.0
Bangladesh,BGD,2020,97.0
India,IND,2000,10.0
India,IND,2005,49.0
India,IND,2010,35.0
India,IND,2015,53.0
India,IND,2020,54.0
Philippines,PHL,2000,69.0
Philippines,PHL,2005,85.0
Philippines,PHL,2010,91.0
Philippines,PHL,2015,72.0
Philippines,PHL,2020,29.0
Rwanda,RWA,2000,0.0
Rwanda,RWA,2005,87.0
Rwanda,RWA,2010,94.0
Rwanda,RWA,2015,96.0
Rwanda,RWA,2020,0.0
