Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),World Region according to the World Bank
Afghanistan,AFG,2021,5.565748,1516.3057,40099460.0,
Armenia,ARM,2021,1.0721141,14193.117,2790971.0,
Bangladesh,BGD,2021,2.727363,5911.013,169356240.0,
Belarus,BLR,2021,0.27249396,19751.203,9578172.0,
Belize,BLZ,2021,1.1186618,8762.623,400037.0,
Benin,BEN,2021,8.352425,3321.5522,12996901.0,
Brazil,BRA,2021,1.4410983,14592.353,214326224.0,
Brunei,BRN,2021,1.1475964,60127.023,445382.0,
Burundi,BDI,2021,5.260476,705.0304,12551215.0,
Canada,CAN,2021,0.5041324,47892.945,38155012.0,
Chile,CHL,2021,0.6553434,25449.13,19493184.0,
China,CHN,2021,0.69345915,17602.695,1425893504.0,
Democratic Republic of Congo,COD,2021,7.8960543,1073.6433,95894120.0,
East Timor,TLS,2021,5.0548973,5032.41,1320944.0,
Egypt,EGY,2021,1.8957832,11566.05,109262184.0,
Equatorial Guinea,GNQ,2021,7.6775002,14637.008,1634473.0,
Estonia,EST,2021,0.19995837,38717.695,1328704.0,
Eswatini,SWZ,2021,5.2632627,8856.829,1192273.0,
Ethiopia,ETH,2021,4.6811466,2319.0684,120283024.0,
Fiji,FJI,2021,2.772603,10359.204,924615.0,
Gabon,GAB,2021,3.974532,13813.723,2341185.0,
Germany,DEU,2021,0.3565119,53179.656,83408560.0,
Greece,GRC,2021,0.37140977,29548.04,10445368.0,
Guinea,GIN,2021,9.872694,2640.3442,13531909.0,
Guyana,GUY,2021,2.767837,21925.188,804571.0,
Haiti,HTI,2021,5.8632684,2870.145,11447575.0,
Honduras,HND,2021,1.6555912,5572.177,10278346.0,
India,IND,2021,3.0619214,6592.042,1407563904.0,
Indonesia,IDN,2021,2.2173412,11858.146,273753184.0,
Iran,IRN,2021,1.2631342,15004.6875,87923432.0,
Ireland,IRL,2021,0.31456897,102496.22,4986525.0,
Japan,JPN,2021,0.23023768,40784.383,124612528.0,
Laos,LAO,2021,4.2509923,7846.975,7425055.0,
Libya,LBY,2021,1.0765929,21965.174,6735280.0,
Luxembourg,LUX,2021,0.2734924,115683.49,639330.0,
Malawi,MWI,2021,4.1899285,1491.1339,19889742.0,
Malaysia,MYS,2021,0.75561273,26333.156,33573872.0,
Mali,MLI,2021,9.706693,2120.6233,21904990.0,
Mexico,MEX,2021,1.3240743,19086.105,126705136.0,
Montenegro,MNE,2021,0.22629364,20602.5,627856.0,
Morocco,MAR,2021,1.7995571,8058.397,37076588.0,
Mozambique,MOZ,2021,6.9558425,1226.767,32077074.0,
Myanmar,MMR,2021,4.181237,4032.6257,53798088.0,
Nauru,NRU,2021,2.7594476,11947.395,12533.0,
Nepal,NPL,2021,2.716347,3831.9485,30034988.0,
Niger,NER,2021,11.515188,1186.5768,25252722.0,
Nigeria,NGA,2021,11.081927,4922.6323,213401328.0,
North America,,2021,0.61332315,,597123384.0,
Pakistan,PAK,2021,6.333255,5232.1426,231402112.0,
Panama,PAN,2021,1.3870468,29037.945,4351264.0,
Qatar,QAT,2021,0.53061014,92862.35,2688239.0,
Russia,RUS,2021,0.5054897,27960.102,145102752.0,
Rwanda,RWA,2021,3.9438884,2238.9573,13461891.0,
Serbia,SRB,2021,0.5487267,19831.297,7296771.0,
Singapore,SGP,2021,0.20883267,106032.23,5941063.0,
Solomon Islands,SLB,2021,1.8785264,2406.1135,707855.0,
South Africa,ZAF,2021,3.2847328,13311.926,59392256.0,
South Korea,KOR,2021,0.28881985,44232.207,51830136.0,
Sudan,SDN,2021,5.489554,3701.069,45657204.0,
Sweden,SWE,2021,0.24645145,53613.42,10467095.0,
Tonga,TON,2021,1.1139883,6142.857,106034.0,
Trinidad and Tobago,TTO,2021,1.6331766,23037.143,1525671.0,
Turkey,TUR,2021,0.8980168,31466.56,84775408.0,
Turks and Caicos Islands,TCA,2021,0.44893903,18512.457,45141.0,
Tuvalu,TUV,2021,2.125409,4924.0273,11229.0,
Ukraine,UKR,2021,0.82232255,12943.614,43531424.0,
United Kingdom,GBR,2021,0.41853985,44978.715,67281040.0,
United States,USA,2021,0.624298,63669.71,336997632.0,
Uzbekistan,UZB,2021,1.4066064,7734.8325,34081452.0,
Vanuatu,VUT,2021,2.3214133,2783.0195,319146.0,
