Entity,Code,Year,14.a.1 - National ocean science expenditure as a share of total research and development funding (%) - ER_RDE_OSEX
Belgium,BEL,2016,0.28
Belgium,BEL,2017,0.27
Belgium,BEL,2021,0.12
Brazil,BRA,2016,0.04
Brazil,BRA,2017,0.04
Canada,CAN,2016,0.67
Canada,CAN,2017,0.81
Finland,FIN,2016,0.32
Finland,FIN,2017,0.32
Germany,DEU,2016,0.25
Germany,DEU,2017,0.25
Germany,DEU,2021,0.34
Italy,ITA,2016,0.31
Italy,ITA,2017,0.19
Japan,JPN,2016,0.39
Japan,JPN,2017,0.33
Norway,NOR,2017,5.35
Portugal,PRT,2016,2.39
South Africa,ZAF,2017,2.35
South Korea,KOR,2016,0.32
South Korea,KOR,2017,0.25
Spain,ESP,2016,0.49
Spain,ESP,2017,0.45
United Kingdom,GBR,2016,0.54
United Kingdom,GBR,2017,0.61
United States,USA,2016,2.42
World,OWID_WRL,2016,0.87
World,OWID_WRL,2017,0.95
World,OWID_WRL,2021,1.14
