Entity,Code,Year,"Current number of cases of hiv/aids and sexually transmitted infections per 100 people, in both sexes aged under 5"
East Timor,TLS,1990,0.0
East Timor,TLS,1995,0.12481073
East Timor,TLS,2000,0.12583572
East Timor,TLS,2005,0.10770951
East Timor,TLS,2010,0.11031915
East Timor,TLS,2015,0.10885583
East Timor,TLS,2019,0.08787661
Jamaica,JAM,1990,0.0
Jamaica,JAM,1995,0.0
Jamaica,JAM,2000,0.0
Jamaica,JAM,2005,0.0
Jamaica,JAM,2010,0.0
Jamaica,JAM,2015,0.0
Jamaica,JAM,2019,0.0
Kyrgyzstan,KGZ,1990,0.0
Kyrgyzstan,KGZ,1995,0.0
Kyrgyzstan,KGZ,2000,0.0
Kyrgyzstan,KGZ,2005,0.0
Kyrgyzstan,KGZ,2010,0.0
Kyrgyzstan,KGZ,2015,0.011169179
Kyrgyzstan,KGZ,2019,0.0
Taiwan,TWN,1990,0.0
Taiwan,TWN,1995,0.0
Taiwan,TWN,2000,0.0
Taiwan,TWN,2005,0.0
Taiwan,TWN,2010,0.0
Taiwan,TWN,2015,0.0
Taiwan,TWN,2019,0.0
