Entity,Code,Year,Gender wage gap (%),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Argentina,ARG,2016,,23189.527,43668236.0,
Asia,,2016,,,4502955714.0,
Belgium,BEL,2016,,49829.926,11316837.0,
Belize,BLZ,2016,-20.03,9208.114,367327.0,
Bolivia,BOL,2016,,8034.173,11263016.0,
Brazil,BRA,2016,,14402.494,206859584.0,
Brunei,BRN,2016,,59980.99,426001.0,
Bulgaria,BGR,2016,,20744.523,7245982.0,
Colombia,COL,2016,,14358.168,47625960.0,
Czechia,CZE,2016,20.61,37014.96,10527584.0,
Ecuador,ECU,2016,-2.8,11587.825,16439588.0,
El Salvador,SLV,2016,,8450.251,6250513.0,
Estonia,EST,2016,,32008.934,1315928.0,
Europe,,2016,,,744516175.0,
France,FRA,2016,,43705.15,63989320.0,
Germany,DEU,2016,,51879.67,82331432.0,
Guatemala,GTM,2016,,8206.048,16291004.0,
Honduras,HND,2016,,5287.253,9460798.0,
Hungary,HUN,2016,,28217.354,9815106.0,
Italy,ITA,2016,,40837.74,60118628.0,
Luxembourg,LUX,2016,,116283.7,583355.0,
Mexico,MEX,2016,,19830.963,121519224.0,
Netherlands,NLD,2016,,53847.83,17124512.0,
Nicaragua,NIC,2016,,5734.355,6389237.0,
North America,,2016,,,576008328.0,
Pakistan,PAK,2016,10.81,4746.718,213524848.0,
Panama,PAN,2016,,29410.635,4026338.0,
Peru,PER,2016,,12321.318,31132776.0,
Poland,POL,2016,,28497.104,38532108.0,
Portugal,PRT,2016,8.54,31847.537,10332751.0,
Russia,RUS,2016,,25490.709,145109152.0,
Serbia,SRB,2016,,16185.742,7493288.0,
Slovakia,SVK,2016,,29248.885,5431205.0,
South America,,2016,,,417101806.0,
South Korea,KOR,2016,33.59,39814.66,51309984.0,
Spain,ESP,2016,,38476.79,46473320.0,
Sweden,SWE,2016,,51334.434,9953322.0,
Switzerland,CHE,2016,,68813.64,8372902.0,
Thailand,THA,2016,-21.57,16393.314,70607032.0,
Turkey,TUR,2016,,25996.967,81019400.0,
Vietnam,VNM,2016,10.71,8545.702,93126528.0,
