Entity,Code,Year,Share of global cumulative CO₂ emissions from coal
China,CHN,1950,1.1402972
China,CHN,2000,11.313909
China,CHN,2022,23.853512
European Union (27),,1800,0.6727261
European Union (27),,1850,18.12269
European Union (27),,1900,35.492046
European Union (27),,1950,32.16005
European Union (27),,2000,26.421654
European Union (27),,2022,19.699045
India,IND,1900,0.23128738
India,IND,1950,0.94408387
India,IND,2000,2.4501345
India,IND,2022,4.708452
United Kingdom,GBR,1750,100.0
United Kingdom,GBR,1800,99.28796
United Kingdom,GBR,1850,77.83817
United Kingdom,GBR,1900,38.063953
United Kingdom,GBR,1950,19.649536
United Kingdom,GBR,2000,10.401257
United Kingdom,GBR,2022,6.9432907
United States,USA,1800,0.031924415
United States,USA,1850,3.9831877
United States,USA,1900,23.05977
United States,USA,1950,35.23253
United States,USA,2000,26.487293
United States,USA,2022,21.529942
