Entity,Code,Year,Barley | 00000044 || Production | 005510 || tonnes
Canada,CAN,1961,2452398.0
Canada,CAN,1970,8889225.0
Canada,CAN,1980,11394300.0
Canada,CAN,1990,13441400.0
Canada,CAN,2000,13228600.0
Canada,CAN,2010,7627200.0
Canada,CAN,2021,6848137.0
France,FRA,1961,5412790.0
France,FRA,1970,8154000.0
France,FRA,1980,11692000.0
France,FRA,1990,9995700.0
France,FRA,2000,9709332.0
France,FRA,2010,10101597.0
France,FRA,2021,11321320.0
Ireland,IRL,1961,515400.0
Ireland,IRL,1970,782000.0
Ireland,IRL,1980,1701000.0
Ireland,IRL,1990,1223000.0
Ireland,IRL,2000,1309900.0
Ireland,IRL,2010,1223100.0
Ireland,IRL,2021,1506410.0
Sweden,SWE,1961,944580.0
Sweden,SWE,1970,1903650.0
Sweden,SWE,1980,2171940.0
Sweden,SWE,1990,2122600.0
Sweden,SWE,2000,1615400.0
Sweden,SWE,2010,1232300.0
Sweden,SWE,2021,1060400.0
United Kingdom,GBR,1961,5053833.0
United Kingdom,GBR,1970,7534893.0
United Kingdom,GBR,1980,10320000.0
United Kingdom,GBR,1990,7897000.0
United Kingdom,GBR,2000,6492000.0
United Kingdom,GBR,2010,5252000.0
United Kingdom,GBR,2021,6961000.0
