Entity,Code,Year,food_kcal,feed_kcal,other_allocation_kcal,processing_kcal,seed_kcal,waste_kcal
0 to 1 ha,,2010,650000000000,95000000000,286000000000,26000000000,22000000000,40000000000
1 to 2 ha,,2010,766000000000,247000000000,222000000000,43000000000,25000000000,58000000000
10 to 20 ha,,2010,170000000000,54000000000,58000000000,37000000000,12000000000,16000000000
100 to 200 ha,,2010,706000000000,234000000000,87000000000,271000000000,68000000000,61000000000
2 to 5 ha,,2010,619000000000,115000000000,274000000000,47000000000,25000000000,47000000000
20 to 50 ha,,2010,212000000000,81000000000,42000000000,79000000000,17000000000,15000000000
200 to 500 ha,,2010,115000000000,84000000000,35000000000,46000000000,10000000000,9000000000
5 to 10 ha,,2010,415000000000,151000000000,126000000000,39000000000,17000000000,35000000000
50 to 100 ha,,2010,245000000000,101000000000,37000000000,109000000000,21000000000,18000000000
500 to 1000 ha,,2010,439000000000,201000000000,71000000000,150000000000,38000000000,20000000000
> 1000 ha,,2010,129000000000,66000000000,36000000000,74000000000,18000000000,26000000000
