Entity,Code,Year,Prevalence of current tobacco use (% of adults),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2020,23.3,1968.341,38972236.0,
Africa,,2020,,,1360677453.0,
Argentina,ARG,2020,24.5,19685.217,45036032.0,
Asia,,2020,,,4663086623.0,
Austria,AUT,2020,26.4,51988.414,8907780.0,
Bangladesh,BGD,2020,34.7,5591.374,167420944.0,
Bolivia,BOL,2020,12.7,7679.933,11936169.0,
Brazil,BRA,2020,12.8,14021.958,213196304.0,
Burundi,BDI,2020,11.8,711.3553,12220229.0,
Cameroon,CMR,2020,7.3,3665.5105,26491090.0,
Canada,CAN,2020,13.0,46064.254,37888704.0,
Chad,TCD,2020,8.3,1489.1868,16644707.0,
Chile,CHL,2020,29.2,23017.69,19300318.0,
China,CHN,2020,25.6,16296.779,1424929792.0,
Colombia,COL,2020,8.5,13387.701,50930656.0,
Comoros,COM,2020,20.3,3222.374,806168.0,
Costa Rica,CRI,2020,8.8,19824.348,5123107.0,
Cote d'Ivoire,CIV,2020,9.4,5098.56,26811792.0,
Croatia,HRV,2020,36.9,26950.719,4096872.0,
Czechia,CZE,2020,30.7,38639.98,10530951.0,
Democratic Republic of Congo,COD,2020,12.8,1044.0712,92853168.0,
Denmark,DNK,2020,17.5,55518.598,5825638.0,
Dominican Republic,DOM,2020,10.6,16768.426,10999668.0,
Ecuador,ECU,2020,11.3,10356.975,17588596.0,
Egypt,EGY,2020,24.3,11380.847,107465128.0,
Eswatini,SWZ,2020,9.2,8290.409,1180663.0,
Ethiopia,ETH,2020,5.1,2253.2358,117190920.0,
Europe,,2020,,,747462669.0,
France,FRA,2020,33.4,42233.14,64480052.0,
Gambia,GMB,2020,11.1,2042.6202,2574005.0,
Georgia,GEO,2020,31.7,13966.326,3765912.0,
Greece,GRC,2020,33.5,27103.541,10512232.0,
India,IND,2020,27.2,6114.0317,1396387072.0,
Indonesia,IDN,2020,37.6,11515.74,271857984.0,
Iraq,IRQ,2020,18.5,8919.798,42556988.0,
Ireland,IRL,2020,20.8,91099.75,4946123.0,
Italy,ITA,2020,23.1,39065.28,59500576.0,
Japan,JPN,2020,20.1,39935.465,125244760.0,
Jordan,JOR,2020,34.8,9203.376,10928723.0,
Kenya,KEN,2020,11.1,4498.383,51985780.0,
Kiribati,KIR,2020,40.6,1944.8469,126473.0,
Kuwait,KWT,2020,17.9,43922.63,4360451.0,
Kyrgyzstan,KGZ,2020,25.4,4726.197,6424880.0,
Laos,LAO,2020,31.8,7763.9487,7319397.0,
Madagascar,MDG,2020,27.8,1436.2069,28225182.0,
Malawi,MWI,2020,10.8,1489.6014,19377058.0,
Malaysia,MYS,2020,22.5,25830.973,33199988.0,
Mali,MLI,2020,8.3,2123.8281,21224042.0,
Mauritius,MUS,2020,20.2,20224.223,1297830.0,
Mexico,MEX,2020,13.1,18327.99,125998296.0,
Mongolia,MNG,2020,29.4,11666.779,3294340.0,
Montenegro,MNE,2020,31.4,18262.236,629058.0,
Morocco,MAR,2020,14.5,7545.995,36688768.0,
Myanmar,MMR,2020,44.1,4947.0938,53423200.0,
Nauru,NRU,2020,48.5,11958.172,12339.0,
Nepal,NPL,2020,30.4,3761.8027,29348626.0,
Niger,NER,2020,7.4,1214.5465,24333644.0,
Nigeria,NGA,2020,3.7,4865.087,208327408.0,
North America,,2020,,,594263186.0,
Oceania,,2020,,,43933757.0,
Oman,OMN,2020,8.0,33098.21,4543406.0,
Pakistan,PAK,2020,20.2,5004.352,227196736.0,
Palau,PLW,2020,17.6,15952.251,17999.0,
Panama,PAN,2020,5.0,25510.273,4294391.0,
Papua New Guinea,PNG,2020,39.3,3741.5967,9749641.0,
Peru,PER,2020,8.1,11176.919,33304768.0,
Philippines,PHL,2020,22.9,7773.2603,112190984.0,
Portugal,PRT,2020,25.4,32011.324,10298186.0,
Qatar,QAT,2020,11.8,89019.07,2760390.0,
Russia,RUS,2020,26.8,26583.797,145617328.0,
Serbia,SRB,2020,39.8,18265.967,7358010.0,
Solomon Islands,SLB,2020,36.5,2469.1077,691198.0,
South Africa,ZAF,2020,20.3,12815.909,58801928.0,
South America,,2020,,,431530105.0,
Spain,ESP,2020,27.7,35967.89,47363808.0,
Tanzania,TZA,2020,8.7,2551.2063,61704520.0,
Thailand,THA,2020,22.1,16848.584,71475664.0,
Turkey,TUR,2020,30.7,28473.205,84135432.0,
Turkmenistan,TKM,2020,5.5,,6250442.0,
United Kingdom,GBR,2020,15.4,41984.105,67059472.0,
United States,USA,2020,23.0,60167.855,335942016.0,
Vanuatu,VUT,2020,17.8,2836.8135,311694.0,
Zambia,ZMB,2020,14.4,3183.651,18927716.0,
