Entity,Code,Year,Productivity: output per hour worked
Brazil,BRA,1950,2.5495155
Brazil,BRA,1960,3.4564524
Brazil,BRA,1970,5.6747894
Brazil,BRA,1980,8.250562
Brazil,BRA,1990,8.242826
Brazil,BRA,2000,13.205463
Brazil,BRA,2010,19.317396
Brazil,BRA,2019,19.195236
China,CHN,1970,1.4994909
China,CHN,1980,1.7565327
China,CHN,1990,2.189328
China,CHN,2000,3.524101
China,CHN,2010,8.160233
China,CHN,2019,11.692401
France,FRA,1950,7.0669904
France,FRA,1960,11.760632
France,FRA,1970,21.312586
France,FRA,1980,33.6654
France,FRA,1990,40.628033
France,FRA,2000,53.307465
France,FRA,2010,62.623447
France,FRA,2019,68.63126
Germany,DEU,1950,4.7953887
Germany,DEU,1960,9.996917
Germany,DEU,1970,16.493956
Germany,DEU,1980,25.373142
Germany,DEU,1990,35.48058
Germany,DEU,2000,52.285507
Germany,DEU,2010,63.392994
Germany,DEU,2019,68.8512
India,IND,1970,1.9620081
India,IND,1980,1.67654
India,IND,1990,1.7396741
India,IND,2000,2.6448793
India,IND,2010,5.6992044
India,IND,2019,8.680879
Japan,JPN,1950,2.9542785
Japan,JPN,1960,4.9748535
Japan,JPN,1970,11.621735
Japan,JPN,1980,19.919168
Japan,JPN,1990,27.704779
Japan,JPN,2000,39.46904
Japan,JPN,2010,43.54393
Japan,JPN,2019,42.56412
Mexico,MEX,1950,7.838052
Mexico,MEX,1960,12.327988
Mexico,MEX,1970,18.01936
Mexico,MEX,1980,21.832298
Mexico,MEX,1990,16.928875
Mexico,MEX,2000,17.833534
Mexico,MEX,2010,19.41408
Mexico,MEX,2019,20.339481
Russia,RUS,2000,11.213559
Russia,RUS,2010,24.944563
Russia,RUS,2019,29.547054
United Kingdom,GBR,1950,10.331418
United Kingdom,GBR,1960,13.684072
United Kingdom,GBR,1970,20.08753
United Kingdom,GBR,1980,27.886408
United Kingdom,GBR,1990,31.00492
United Kingdom,GBR,2000,44.76795
United Kingdom,GBR,2010,51.329544
United Kingdom,GBR,2019,54.34881
United States,USA,1950,19.803486
United States,USA,1960,25.648903
United States,USA,1970,33.242287
United States,USA,1980,39.362434
United States,USA,1990,45.16287
United States,USA,2000,55.11331
United States,USA,2010,68.20562
United States,USA,2019,73.7004
