Entity,Code,Year,Height (Baten and Blum 2015)
Albania,ALB,1880,170.1
Albania,ALB,1900,169.2
Albania,ALB,2000,167.9
Bolivia,BOL,1900,162.45
Bolivia,BOL,1940,163.4
Bolivia,BOL,1960,163.18200000000002
Bolivia,BOL,1980,164.19099999999997
Bolivia,BOL,2000,168.7
Mali,MLI,1850,166.467
Mali,MLI,1880,171.043
Mali,MLI,1900,167.485
Mali,MLI,1920,171.605
Mali,MLI,1940,170.5
Mali,MLI,1960,172.727
Mali,MLI,1980,172.238
South Africa,ZAF,1900,169.898
South Africa,ZAF,1920,169.21400000000003
South Africa,ZAF,1940,168.225
South Africa,ZAF,1960,169.5
South Africa,ZAF,1980,168.1
