Entity,Code,Year,Annual CO₂ emissions (per capita),GDP per capita,417485-annotations,Population (historical estimates),Continent
Afghanistan,AFG,2018,0.29487586,1934.555,,36686788.0,
Africa,,2018,1.0491422,,,1295265310.0,
Angola,AGO,2018,0.6853864,7771.442,,31273538.0,
Asia,,2018,4.445855,,,4588802751.0,
Burundi,BDI,2018,0.05612558,651.3589,,11493476.0,
Cambodia,KHM,2018,0.8694936,3628.561,,16025242.0,
China,CHN,2018,7.306582,13101.706,,1417069440.0,
Colombia,COL,2018,1.7678044,13545.05,,49276968.0,
Democratic Republic of Congo,COD,2018,0.038755305,859.3817,,87087352.0,
Ethiopia,ETH,2018,0.14387688,1838.4904,,111129440.0,
Europe,,2018,7.5211334,,,746577709.0,
India,IND,2018,1.8941209,6806.4985,,1369003264.0,
Indonesia,IDN,2018,2.224542,11851.737,,267066848.0,
Japan,JPN,2018,9.042501,38673.81,,126255872.0,
Kenya,KEN,2018,0.37711197,3377.4705,,49953300.0,
Kuwait,KWT,2018,24.44828,65520.74,,4317190.0,
Kyrgyzstan,KGZ,2018,1.7950532,5176.9883,,6223503.0,
Malta,MLT,2018,3.1463923,32028.912,,491590.0,
Mexico,MEX,2018,3.792204,16494.078,,124013864.0,
Mongolia,MNG,2018,14.322292,13382.542,,3163994.0,
Mozambique,MOZ,2018,0.23824759,1132.7709,,29423882.0,
Nepal,NPL,2018,0.5191309,2727.4238,,28506718.0,
Niger,NER,2018,0.079877935,964.6601,,22577060.0,
Nigeria,NGA,2018,0.5322892,5237.662,,198387616.0,
North America,,2018,11.3473015,,,585864285.0,
North Korea,PRK,2018,1.8577725,1596.3517,,25638152.0,
Oceania,,2018,11.082192,,,42540030.0,
Pakistan,PAK,2018,0.93323416,5510.3965,,219731488.0,
Panama,PAN,2018,2.5823088,22637.148,,4165258.0,
Philippines,PHL,2018,1.3034848,8139.1396,,108568832.0,
Poland,POL,2018,8.72451,27455.236,,38521464.0,
Portugal,PRT,2018,4.992572,27035.6,,10289833.0,
Qatar,QAT,2018,34.50409,153764.17,,2766743.0,
Russia,RUS,2018,11.757415,24668.908,,145652288.0,
Rwanda,RWA,2018,0.10273057,1929.2852,,12531810.0,
Senegal,SEN,2018,0.7274772,2617.1245,,15574910.0,
Serbia,SRB,2018,5.9619856,14124.118,,7433825.0,
Singapore,SGP,2018,8.6052475,68402.34,,5814543.0,
Slovakia,SVK,2018,6.628825,27075.535,,5446746.0,
South America,,2018,2.5143125,,,424740741.0,
South Korea,KOR,2018,12.968438,37927.61,,51676900.0,
Sri Lanka,LKA,2018,0.93124175,11662.906,,21580712.0,
Sweden,SWE,2018,4.136523,45541.89,,10162300.0,
Syria,SYR,2018,1.6771247,3349.4597,,19333464.0,
Tanzania,TZA,2018,0.20378329,2874.963,,58090444.0,
Trinidad and Tobago,TTO,2018,26.801151,28549.408,,1504707.0,
Turkey,TUR,2018,5.0967536,19270.22,,82809304.0,
Ukraine,UKR,2018,5.212142,9813.363,,44446952.0,
United Kingdom,GBR,2018,5.7159815,38058.086,,66432996.0,
United States,USA,2018,16.191355,55334.74,,332140032.0,
Uruguay,URY,2018,1.9173871,20185.836,,3427044.0,
Venezuela,VEN,2018,3.377444,10709.95,,29825652.0,
Zimbabwe,ZWE,2018,0.7118298,1611.4052,,15052191.0,
