Entity,Code,Year,"GDP, PPP (constant 2017 international $)",Annual CO₂ emissions,Annual consumption-based CO₂ emissions
European Union (27),,1990,11993015000000.0,3870427400.0,4401945600.0
European Union (27),,1995,12896907000000.0,3637057800.0,4242530800.0
European Union (27),,2000,14850821000000.0,3601508900.0,4214010600.0
European Union (27),,2005,16309781000000.0,3734855400.0,4510458000.0
European Union (27),,2010,17215439000000.0,3431444700.0,4299789300.0
European Union (27),,2015,18112519000000.0,3092761900.0,3599004200.0
European Union (27),,2022,,2761907000.0,
France,FRA,1990,1964408000000.0,393430700.0,493079870.0
France,FRA,1995,2094544800000.0,386456830.0,502071140.0
France,FRA,2000,2420192600000.0,406507520.0,519230820.0
France,FRA,2005,2631040500000.0,416151140.0,551656450.0
France,FRA,2010,2740758000000.0,376563900.0,503268540.0
France,FRA,2015,2884587200000.0,331414430.0,422465020.0
France,FRA,2022,,297533920.0,
Germany,DEU,1990,2915151000000.0,1054740600.0,1194926000.0
Germany,DEU,1995,3215345300000.0,939897150.0,1140018300.0
Germany,DEU,2000,3529190400000.0,898938050.0,1083652100.0
Germany,DEU,2005,3624472400000.0,865470700.0,1049214900.0
Germany,DEU,2010,3843453600000.0,831129600.0,1022113100.0
Germany,DEU,2015,4179029700000.0,798084740.0,893463900.0
Germany,DEU,2022,,665604700.0,
Sweden,SWE,1990,292342600000.0,57509900.0,85622020.0
Sweden,SWE,1995,302178800000.0,59506170.0,85420580.0
Sweden,SWE,2000,360432630000.0,54930064.0,85858040.0
Sweden,SWE,2005,410306450000.0,53875336.0,91312600.0
Sweden,SWE,2010,448193500000.0,53120372.0,86144390.0
Sweden,SWE,2015,499062370000.0,43418744.0,71267870.0
Sweden,SWE,2022,,38050544.0,
United Kingdom,GBR,1990,1805465700000.0,601945100.0,669606140.0
United Kingdom,GBR,1995,1956315100000.0,566158900.0,644332500.0
United Kingdom,GBR,2000,2301570600000.0,569033660.0,744108100.0
United Kingdom,GBR,2005,2592842200000.0,570338370.0,750134460.0
United Kingdom,GBR,2010,2653161500000.0,511904580.0,676785600.0
United Kingdom,GBR,2015,2926865800000.0,422460800.0,588640500.0
United Kingdom,GBR,2022,,318654370.0,
United States,USA,1990,10098808000000.0,5120957000.0,5048029700.0
United States,USA,1995,11462538000000.0,5425259500.0,5372450000.0
United States,USA,2000,14157707000000.0,6010135600.0,6253939700.0
United States,USA,2005,16057789000000.0,6132183000.0,6724063700.0
United States,USA,2010,16863543000000.0,5679715300.0,5965814000.0
United States,USA,2015,18739995000000.0,5376473000.0,5790281000.0
United States,USA,2022,,5057303600.0,
