Entity,Code,Year,"Credit to Agriculture, Forestry and Fishing | 00023068 || Agriculture orientation index US$ | 006159 || Index"
Australia,AUS,1995,2.847156
Australia,AUS,2000,2.507495
Australia,AUS,2005,3.525877
Australia,AUS,2010,3.975499
Australia,AUS,2015,3.022647
Australia,AUS,2021,4.029211
Bangladesh,BGD,2005,0.494274
Bangladesh,BGD,2010,0.355727
Bangladesh,BGD,2015,0.371566
Bangladesh,BGD,2021,0.368724
Brazil,BRA,2015,0.211943
Brazil,BRA,2021,0.143545
India,IND,2000,0.470467
India,IND,2005,0.612531
India,IND,2010,0.685256
India,IND,2015,0.720282
Kenya,KEN,2000,0.530132
Kenya,KEN,2005,0.614614
Kenya,KEN,2010,0.28982
Kenya,KEN,2015,0.208511
Kenya,KEN,2021,0.124376
United States,USA,1991,1.22269
United States,USA,1995,1.287882
United States,USA,2000,1.322622
United States,USA,2005,0.971936
United States,USA,2010,0.936572
United States,USA,2015,0.981314
United States,USA,2021,0.859945
