Entity,Code,Year,Share of global cumulative CO₂ emissions from gas
Australia,AUS,1882,0.0
Australia,AUS,1900,0.0
Australia,AUS,1920,0.0
Australia,AUS,1940,0.0
Australia,AUS,1960,0.0
Australia,AUS,1980,0.21690908
Australia,AUS,2000,0.63123757
Australia,AUS,2022,0.8543074
Bermuda,BMU,1960,0.0
Bermuda,BMU,1980,0.0
Bermuda,BMU,2000,0.0
Bermuda,BMU,2022,0.0
Lesotho,LSO,2000,0.0
Lesotho,LSO,2022,0.0
Low-income countries,,1920,0.0
Low-income countries,,1940,0.0
Low-income countries,,1960,0.0
Low-income countries,,1980,0.010915316
Low-income countries,,2000,0.07576404
Low-income countries,,2022,0.13638636
Philippines,PHL,1920,0.0
Philippines,PHL,1940,0.0
Philippines,PHL,1960,0.0
Philippines,PHL,1980,0.0
Philippines,PHL,2000,8.7089174e-05
Philippines,PHL,2022,0.054139372
Solomon Islands,SLB,1960,0.0
Solomon Islands,SLB,1980,0.0
Solomon Islands,SLB,2000,0.0
Solomon Islands,SLB,2022,0.0
