Entity,Code,Year,"Meat, chicken | 00001058 || Production | 005510 || tonnes"
Martinique,MTQ,1961,620.0
Martinique,MTQ,1970,1200.0
Martinique,MTQ,1980,1800.0
Martinique,MTQ,1990,1044.0
Martinique,MTQ,2000,1050.0
Uganda,UGA,1961,10621.0
Uganda,UGA,1970,14352.0
Uganda,UGA,1980,20267.0
Uganda,UGA,1990,29640.0
Uganda,UGA,2000,44090.0
Uganda,UGA,2010,62300.0
Uganda,UGA,2021,68384.67
World,OWID_WRL,1961,7555377.0
World,OWID_WRL,1970,13139703.0
World,OWID_WRL,1980,22895910.0
World,OWID_WRL,1990,35415660.0
World,OWID_WRL,2000,58698450.0
World,OWID_WRL,2010,87270330.0
World,OWID_WRL,2021,121588360.0
