Entity,Code,Year,Elections for legislature
Bulgaria,BGR,1900,1
Bulgaria,BGR,1950,1
Bulgaria,BGR,2000,1
Bulgaria,BGR,2015,1
Bulgaria,BGR,2022,1
Cote d'Ivoire,CIV,1900,0
Cote d'Ivoire,CIV,1950,1
Cote d'Ivoire,CIV,2000,1
Cote d'Ivoire,CIV,2015,1
Cote d'Ivoire,CIV,2022,1
Maldives,MDV,1789,0
Maldives,MDV,1850,0
Maldives,MDV,1900,0
Maldives,MDV,1950,0
Maldives,MDV,2000,1
Maldives,MDV,2015,1
Maldives,MDV,2022,1
United Kingdom,GBR,1789,1
United Kingdom,GBR,1850,1
United Kingdom,GBR,1900,1
United Kingdom,GBR,1950,1
United Kingdom,GBR,2000,1
United Kingdom,GBR,2015,1
United Kingdom,GBR,2022,1
