Entity,Code,Year,Cattle | 00000866 || Stocks | 005111 || animals
Ecuador,ECU,1961,1550000
Ecuador,ECU,1970,2433900
Ecuador,ECU,1980,3005390
Ecuador,ECU,1990,4359393
Ecuador,ECU,2000,4486020
Ecuador,ECU,2010,5253536
Ecuador,ECU,2021,4066930
Niue,NIU,1961,135
Niue,NIU,1970,314
Niue,NIU,1980,500
Niue,NIU,1990,112
Niue,NIU,2000,113
Niue,NIU,2010,113
Niue,NIU,2021,113
Oceania,,1961,24078842
Oceania,,1970,31405464
Oceania,,1980,34946902
Oceania,,1990,31867546
Oceania,,2000,37352443
Oceania,,2010,37344870
Oceania,,2021,35009941
Trinidad and Tobago,TTO,1961,50000
Trinidad and Tobago,TTO,1970,63000
Trinidad and Tobago,TTO,1980,77000
Trinidad and Tobago,TTO,1990,41000
Trinidad and Tobago,TTO,2000,30000
Trinidad and Tobago,TTO,2010,32500
Trinidad and Tobago,TTO,2021,35845
United Kingdom,GBR,1961,11977998
United Kingdom,GBR,1970,12627516
United Kingdom,GBR,1980,13363000
United Kingdom,GBR,1990,12079000
United Kingdom,GBR,2000,11133000
United Kingdom,GBR,2010,10112000
United Kingdom,GBR,2021,9603000
