Entity,Code,Year,Per capita imports of plastic waste via all modes of transport,Per capita exports of plastic waste via all modes of transport
High-income countries,,2008,5.899163,10.563073
High-income countries,,2010,6.5779424,12.067294
High-income countries,,2012,5.3148336,11.157662
High-income countries,,2014,4.9712768,10.580588
High-income countries,,2016,5.4824224,8.3847685
High-income countries,,2018,3.495147,5.0437217
High-income countries,,2020,2.648973,3.3230135
High-income countries,,2022,3.1837435,3.065062
Low-income countries,,2008,0.015966248,0.03994653
Low-income countries,,2010,0.042675253,0.073923945
Low-income countries,,2012,0.0162112,0.081560776
Low-income countries,,2014,0.022776473,0.043897267
Low-income countries,,2016,0.008904417,0.033968747
Low-income countries,,2018,0.014858682,0.04315601
Low-income countries,,2020,0.011610719,0.02276958
Low-income countries,,2022,0.007952701,0.015970714
Lower-middle-income countries,,2008,0.107100904,0.11573507
Lower-middle-income countries,,2010,0.11152111,0.16452147
Lower-middle-income countries,,2012,0.13469145,0.18052389
Lower-middle-income countries,,2014,0.20111145,0.24094698
Lower-middle-income countries,,2016,0.15571511,0.2442701
Lower-middle-income countries,,2018,0.29553756,0.15703656
Lower-middle-income countries,,2020,0.23795423,0.1073457
Lower-middle-income countries,,2022,0.0558104,0.07325769
Upper-middle-income countries,,2008,3.1080616,0.37222943
Upper-middle-income countries,,2010,3.485717,0.39987814
Upper-middle-income countries,,2012,3.8518412,0.5159806
Upper-middle-income countries,,2014,3.5741854,0.36225125
Upper-middle-income countries,,2016,3.8048425,0.1930336
Upper-middle-income countries,,2018,0.8203687,0.14170724
Upper-middle-income countries,,2020,0.6175206,0.09756731
Upper-middle-income countries,,2022,0.4661076,0.07609213
