Entity,Code,Year,"Gross national income per capita, male","Gross national income per capita, female",Population,Continent
Afghanistan,AFG,2021,3089.2705,532.9554,40099460.0,
Africa,,2021,,,1393676724.0,
Asia,,2021,,,4693332132.0,
Bahrain,BHR,2021,53359.496,16786.174,1463266.0,
Bangladesh,BGD,2021,8176.0503,2811.2434,169356240.0,
Burundi,BDI,2021,796.9565,667.52075,12551215.0,
China,CHN,2021,20882.867,13979.689,1425893504.0,
Cuba,CUB,2021,10693.008,5103.3486,11256373.0,
Democratic Republic of Congo,COD,2021,1258.6572,896.3529,95894120.0,
Egypt,EGY,2021,19740.684,3536.0652,109262184.0,
Ethiopia,ETH,2021,2774.393,1943.5756,120283024.0,
Europe,,2021,,,746417727.0,
Germany,DEU,2021,63142.7,46149.953,83408560.0,
India,IND,2021,10632.933,2277.2656,1407563904.0,
Indonesia,IDN,2021,14975.813,7905.9175,273753184.0,
Iraq,IRQ,2021,17748.484,2184.125,43533592.0,
Japan,JPN,2021,54596.844,30620.807,124612528.0,
Lithuania,LTU,2021,42500.043,33891.367,2786652.0,
Malawi,MWI,2021,1712.9045,1231.629,19889742.0,
Maldives,MDV,2021,22119.148,6358.7363,521469.0,
Mali,MLI,2021,2769.8477,1482.6892,21904990.0,
Morocco,MAR,2021,11356.023,3193.5332,37076588.0,
Nepal,NPL,2021,4095.455,3677.183,30034988.0,
Nigeria,NGA,2021,5800.263,3758.7551,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Oman,OMN,2021,39717.23,7169.2124,4520474.0,
Pakistan,PAK,2021,7619.735,1569.3804,231402112.0,
Philippines,PHL,2021,10310.63,7486.7183,113880336.0,
Russia,RUS,2021,33288.06,21857.332,145102752.0,
Somalia,SOM,2021,1488.7107,544.6984,17065588.0,
South America,,2021,,,434254167.0,
Sudan,SDN,2021,5319.732,1832.7704,45657204.0,
Thailand,THA,2021,18694.236,15457.084,71601104.0,
Tunisia,TUN,2021,15777.905,4869.5977,12262949.0,
United States,USA,2021,78238.21,51538.957,336997632.0,
Yemen,YEM,2021,2428.2244,176.05945,32981644.0,
