Entity,Code,Year,Raised fasting blood glucose (>=7.0 mmol/L) (age-standardized estimate) - Sex: both sexes - Age group: 18+  years
Costa Rica,CRI,1980,4.3
Costa Rica,CRI,1985,4.8
Costa Rica,CRI,1990,5.5
Costa Rica,CRI,1995,6.2
Costa Rica,CRI,2000,7.0
Costa Rica,CRI,2005,7.8
Costa Rica,CRI,2010,8.4
Costa Rica,CRI,2014,8.9
East Timor,TLS,1980,2.7
East Timor,TLS,1985,3.1
East Timor,TLS,1990,3.7
East Timor,TLS,1995,4.3
East Timor,TLS,2000,4.8
East Timor,TLS,2005,5.1
East Timor,TLS,2010,5.3
East Timor,TLS,2014,5.5
Fiji,FJI,1980,9.4
Fiji,FJI,1985,9.7
Fiji,FJI,1990,10.3
Fiji,FJI,1995,11.2
Fiji,FJI,2000,12.5
Fiji,FJI,2005,14.2
Fiji,FJI,2010,15.9
Fiji,FJI,2014,17.4
Jamaica,JAM,1980,4.8
Jamaica,JAM,1985,5.3
Jamaica,JAM,1990,6.0
Jamaica,JAM,1995,7.0
Jamaica,JAM,2000,8.1
Jamaica,JAM,2005,9.3
Jamaica,JAM,2010,10.7
Jamaica,JAM,2014,11.9
Slovenia,SVN,1980,5.0
Slovenia,SVN,1985,5.3
Slovenia,SVN,1990,5.6
Slovenia,SVN,1995,5.9
Slovenia,SVN,2000,6.1
Slovenia,SVN,2005,6.4
Slovenia,SVN,2010,6.7
Slovenia,SVN,2014,7.1
