Entity,Code,Year,Refugee population by country or territory of origin
Afghanistan,AFG,1980,1734921
Afghanistan,AFG,1990,6339095
Afghanistan,AFG,2000,3587327
Afghanistan,AFG,2010,3054699
Afghanistan,AFG,2021,2712858
Austria,AUT,2000,33
Austria,AUT,2010,10
Austria,AUT,2021,23
Bangladesh,BGD,1990,477
Bangladesh,BGD,2000,5404
Bangladesh,BGD,2010,10046
Bangladesh,BGD,2021,22672
Belgium,BEL,2000,20
Belgium,BEL,2010,80
Belgium,BEL,2021,29
Kenya,KEN,1990,7
Kenya,KEN,2000,2367
Kenya,KEN,2010,8585
Kenya,KEN,2021,7529
Turkey,TUR,1972,250
Turkey,TUR,1990,5508
Turkey,TUR,2000,47154
Turkey,TUR,2010,146785
Turkey,TUR,2021,105019
