Entity,Code,Year,Deaths - Diarrheal diseases - Sex: Both - Age: Under 5 (Rate)
African Region (WHO),,1990,745.68
African Region (WHO),,1995,664.97
African Region (WHO),,2000,566.16
African Region (WHO),,2005,444.43
African Region (WHO),,2010,348.5
African Region (WHO),,2015,263.04
African Region (WHO),,2019,208.8
Eastern Mediterranean Region (WHO),,1990,288.9
Eastern Mediterranean Region (WHO),,1995,243.92
Eastern Mediterranean Region (WHO),,2000,207.44
Eastern Mediterranean Region (WHO),,2005,166.3
Eastern Mediterranean Region (WHO),,2010,136.25
Eastern Mediterranean Region (WHO),,2015,101.03
Eastern Mediterranean Region (WHO),,2019,79.39
European Region (WHO),,1990,27.08
European Region (WHO),,1995,25.51
European Region (WHO),,2000,17.26
European Region (WHO),,2005,7.54
European Region (WHO),,2010,4.62
European Region (WHO),,2015,3.29
European Region (WHO),,2019,2.75
Region of the Americas (WHO),,1990,128.82
Region of the Americas (WHO),,1995,83.84
Region of the Americas (WHO),,2000,50.2
Region of the Americas (WHO),,2005,33.21
Region of the Americas (WHO),,2010,21.87
Region of the Americas (WHO),,2015,15.33
Region of the Americas (WHO),,2019,12.92
South-East Asia Region (WHO),,1990,308.29
South-East Asia Region (WHO),,1995,249.96
South-East Asia Region (WHO),,2000,186.7
South-East Asia Region (WHO),,2005,142.23
South-East Asia Region (WHO),,2010,103.24
South-East Asia Region (WHO),,2015,60.18
South-East Asia Region (WHO),,2019,41.7
Western Pacific Region (WHO),,1990,70.63
Western Pacific Region (WHO),,1995,48.79
Western Pacific Region (WHO),,2000,33.68
Western Pacific Region (WHO),,2005,19.27
Western Pacific Region (WHO),,2010,11.3
Western Pacific Region (WHO),,2015,7.88
Western Pacific Region (WHO),,2019,5.75
