Entity,Code,Year,General government procurement expenditure (% of GDP)
France,FRA,2007,13.94
France,FRA,2008,14.02
France,FRA,2010,15.07
France,FRA,2012,15.02
France,FRA,2014,14.83
France,FRA,2016,14.46
Italy,ITA,2007,10.41
Italy,ITA,2008,10.7
Italy,ITA,2010,11.25
Italy,ITA,2012,10.65
Italy,ITA,2014,10.48
Italy,ITA,2016,10.2
Mexico,MEX,2007,4.52
Mexico,MEX,2008,5.27
Mexico,MEX,2010,5.79
Mexico,MEX,2012,5.32
Mexico,MEX,2014,5.45
Poland,POL,2007,12.42
Poland,POL,2008,13.01
Poland,POL,2010,13.94
Poland,POL,2012,12.44
Poland,POL,2014,12.3
Poland,POL,2016,10.97
South Africa,ZAF,2008,12.1
South Africa,ZAF,2010,11.26
South Africa,ZAF,2012,11.43
South Africa,ZAF,2014,12.04
