Entity,Code,Year,Estimated number of new cases of all forms of tuberculosis
Africa,,2000,2358483
Africa,,2005,2838726
Africa,,2010,2939580
Africa,,2015,2818979
Africa,,2020,2592630
Africa,,2022,2602808
Asia,,2000,8017550
Asia,,2005,8145565
Asia,,2010,7852209
Asia,,2015,7467431
Asia,,2020,6958683
Asia,,2022,7482287
Europe,,2000,330907
Europe,,2005,305271
Europe,,2010,269350
Europe,,2015,215049
Europe,,2020,153809
Europe,,2022,143709
North America,,2000,94973
North America,,2005,90040
North America,,2010,85009
North America,,2015,82781
North America,,2020,78482
North America,,2022,87955
Oceania,,2000,27304
Oceania,,2005,31508
Oceania,,2010,36741
Oceania,,2015,42173
Oceania,,2020,46575
Oceania,,2022,48057
South America,,2000,206880
South America,,2005,196970
South America,,2010,183640
South America,,2015,186900
South America,,2020,206230
South America,,2022,237570
