Entity,Code,Year,"8.8.1 - Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees) - SL_EMP_FTLINJUR - No breakdown - Both sexes"
Argentina,ARG,2000,18.59
Argentina,ARG,2005,14.28
Argentina,ARG,2010,10.93
Argentina,ARG,2015,4.85
Argentina,ARG,2021,3.15
Mexico,MEX,2000,14.0
Mexico,MEX,2005,11.0
Mexico,MEX,2010,10.0
Mexico,MEX,2015,8.23
Mexico,MEX,2021,7.69
Russia,RUS,2000,14.9
Russia,RUS,2005,12.4
Russia,RUS,2010,9.0
Russia,RUS,2015,6.0
Russia,RUS,2021,6.03
Spain,ESP,2000,9.2
Spain,ESP,2005,4.5
Spain,ESP,2010,2.32
Spain,ESP,2015,2.31
Thailand,THA,2000,11.3
Thailand,THA,2005,18.7
Thailand,THA,2010,7.58
Turkey,TUR,2000,24.6
Turkey,TUR,2005,15.8
Turkey,TUR,2010,13.29
Turkey,TUR,2015,6.87
Turkey,TUR,2021,6.26
United States,USA,2000,4.0
United States,USA,2005,4.0
United States,USA,2010,5.53
United States,USA,2015,4.83
