Entity,Code,Year,"Meat, poultry | 00001808 || Yield | 005424 || kilograms per animal"
Belgium,BEL,2000,1.4715999
Belgium,BEL,2010,1.3088
Brazil,BRA,1961,1.0279
Brazil,BRA,1970,1.1176
Brazil,BRA,1980,1.1122999
Brazil,BRA,1990,1.3689
Brazil,BRA,2000,1.8663
Brazil,BRA,2010,2.2061
Brazil,BRA,2021,2.425
Canada,CAN,1961,1.7613
Canada,CAN,1970,1.7274
Canada,CAN,1980,1.6283
Canada,CAN,1990,1.7061
Canada,CAN,2000,1.7300999
Canada,CAN,2010,1.8264999
Canada,CAN,2021,1.8931999
China,CHN,1961,1.1086999
China,CHN,1970,1.1482999
China,CHN,1980,1.1429
China,CHN,1990,1.3303
China,CHN,2000,1.486
China,CHN,2010,1.5048
China,CHN,2021,1.5474
Finland,FIN,1961,1.2001
Finland,FIN,1970,1.2001
Finland,FIN,1980,1.0761
Finland,FIN,1990,1.2334
Finland,FIN,2000,1.492
Finland,FIN,2010,1.7571
Finland,FIN,2021,1.7983999
India,IND,1961,0.93259996
India,IND,1970,0.9378
India,IND,1980,0.94189996
India,IND,1990,0.9216
India,IND,2000,1.0149
India,IND,2010,1.2083
India,IND,2021,1.3427
