Entity,Code,Year,GDP per capita (constant 2015 US$)
China,CHN,1960,238.21663
China,CHN,1970,283.58487
China,CHN,1980,430.85464
China,CHN,1990,905.0309
China,CHN,2000,2193.893
China,CHN,2010,5647.0586
China,CHN,2021,11188.303
France,FRA,1960,11169.647
France,FRA,1970,17605.639
France,FRA,1980,23618.4
France,FRA,1990,28617.443
France,FRA,2000,33592.47
France,FRA,2010,35638.12
France,FRA,2021,38045.902
Germany,DEU,1970,17894.297
Germany,DEU,1980,23766.107
Germany,DEU,1990,29485.71
Germany,DEU,2000,34490.074
Germany,DEU,2010,37760.914
Germany,DEU,2021,42726.484
India,IND,1960,305.78918
India,IND,1970,361.48602
India,IND,1980,388.8227
India,IND,1990,534.48395
India,IND,2000,755.4821
India,IND,2010,1238.0144
India,IND,2021,1936.9427
Japan,JPN,1960,6260.676
Japan,JPN,1970,14114.315
Japan,JPN,1980,19334.375
Japan,JPN,1990,28422.213
Japan,JPN,2000,31430.63
Japan,JPN,2010,32942.203
Japan,JPN,2021,35291.016
South Korea,KOR,1960,1027.4685
South Korea,KOR,1970,1977.071
South Korea,KOR,1980,4055.7908
South Korea,KOR,1990,9365.395
South Korea,KOR,2000,16992.479
South Korea,KOR,2010,25451.004
South Korea,KOR,2021,32730.65
United Kingdom,GBR,1960,14914.881
United Kingdom,GBR,1970,19752.605
United Kingdom,GBR,1980,24095.887
United Kingdom,GBR,1990,31623.967
United Kingdom,GBR,2000,39187.582
United Kingdom,GBR,2010,42385.86
United Kingdom,GBR,2021,45101.535
United States,USA,1960,19135.268
United States,USA,1970,25295.21
United States,USA,1980,31161.932
United States,USA,1990,39303.49
United States,USA,2000,48746.04
United States,USA,2010,52963.465
United States,USA,2021,61855.52
