Entity,Code,Year,Female intimate partner violence
Afghanistan,AFG,1990,54.68
Afghanistan,AFG,1995,54.718
Afghanistan,AFG,2000,53.704
Afghanistan,AFG,2005,51.15
Afghanistan,AFG,2010,43.425
Afghanistan,AFG,2015,39.775
Afghanistan,AFG,2017,39.062
Belgium,BEL,1990,7.893
Belgium,BEL,1995,7.606
Belgium,BEL,2000,7.437
Belgium,BEL,2005,7.136
Belgium,BEL,2010,7.033
Belgium,BEL,2015,6.881
Belgium,BEL,2017,6.798
Bolivia,BOL,1990,24.682
Bolivia,BOL,1995,23.102
Bolivia,BOL,2000,21.54
Bolivia,BOL,2005,19.71
Bolivia,BOL,2010,18.759
Bolivia,BOL,2015,18.102
Bolivia,BOL,2017,17.892
Democratic Republic of Congo,COD,1990,41.414
Democratic Republic of Congo,COD,1995,41.309
Democratic Republic of Congo,COD,2000,42.768
Democratic Republic of Congo,COD,2005,45.887
Democratic Republic of Congo,COD,2010,41.399
Democratic Republic of Congo,COD,2015,36.905
Democratic Republic of Congo,COD,2017,35.077
Maldives,MDV,1990,15.514
Maldives,MDV,1995,14.904
Maldives,MDV,2000,14.996
Maldives,MDV,2005,13.421
Maldives,MDV,2010,11.373
Maldives,MDV,2015,10.207
Maldives,MDV,2017,9.954
Nepal,NPL,1990,16.921
Nepal,NPL,1995,16.56
Nepal,NPL,2000,15.647
Nepal,NPL,2005,14.782
Nepal,NPL,2010,13.13
Nepal,NPL,2015,12.718
Nepal,NPL,2017,12.642
