Entity,Code,Year,Deaths - Cause: Alzheimer disease and other dementias - Sex: Both sexes - Age group: ALLAges
China,CHN,2000,139069.5
China,CHN,2005,171731.7
China,CHN,2010,207877.1
China,CHN,2015,242903.8
China,CHN,2019,304454.8
India,IND,2000,47340.83
India,IND,2005,59555.48
India,IND,2010,72414.37
India,IND,2015,101782.1
India,IND,2019,126593.0
Indonesia,IDN,2000,12778.1
Indonesia,IDN,2005,15297.74
Indonesia,IDN,2010,18487.94
Indonesia,IDN,2015,22198.26
Indonesia,IDN,2019,27053.73
United States,USA,2000,84619.68
United States,USA,2005,131312.8
United States,USA,2010,200244.3
United States,USA,2015,248682.9
United States,USA,2019,287198.4
