Entity,Code,Year,Fixed broadband subscriptions
Burundi,BDI,2010,352.0
Burundi,BDI,2015,2771.0
Burundi,BDI,2021,3953.0
Democratic Republic of Congo,COD,2010,0.0
Democratic Republic of Congo,COD,2015,1000.0
Middle-income countries,,2005,51647544.0
Middle-income countries,,2010,223035250.0
Middle-income countries,,2015,459226560.0
Middle-income countries,,2021,858628300.0
Sudan,SDN,2005,1269.0
Sudan,SDN,2010,13500.0
Sudan,SDN,2015,28093.0
Sudan,SDN,2021,30426.0
Switzerland,CHE,2000,56416.0
Switzerland,CHE,2005,1669217.0
Switzerland,CHE,2010,2913517.0
Switzerland,CHE,2015,3700563.0
Switzerland,CHE,2021,4007000.0
