Entity,Code,Year,Deaths - Mental and substance use disorders - Sex: Both - Age: All Ages (Number)
Brazil,BRA,1990,3378.7548403375336
Brazil,BRA,1995,4596.972130611337
Brazil,BRA,2000,5613.92631857886
Brazil,BRA,2005,7933.916058624374
Brazil,BRA,2010,8047.528342712248
Brazil,BRA,2015,7345.608502780982
Brazil,BRA,2017,8839.728049841211
China,CHN,1990,9980.347065778444
China,CHN,1995,14655.656273194683
China,CHN,2000,17471.047846255733
China,CHN,2005,16908.657587229245
China,CHN,2010,30208.275821089755
China,CHN,2015,37589.344672715226
China,CHN,2017,39870.20291620036
Russia,RUS,1990,8044.291802343105
Russia,RUS,1995,11597.802182601148
Russia,RUS,2000,7194.781913426145
Russia,RUS,2005,4771.655176524287
Russia,RUS,2010,4749.225949127558
Russia,RUS,2015,5968.293128391923
Russia,RUS,2017,5818.649714105128
United Kingdom,GBR,1990,3014.1472497994096
United Kingdom,GBR,1995,11255.819065910431
United Kingdom,GBR,2000,14619.952640938212
United Kingdom,GBR,2005,13984.513063829503
United Kingdom,GBR,2010,13418.21219177691
United Kingdom,GBR,2015,12812.856943377965
United Kingdom,GBR,2017,13586.307186163993
United States,USA,1990,22432.995854260505
United States,USA,1995,26840.606029291157
United States,USA,2000,34075.79146184204
United States,USA,2005,38148.78214262302
United States,USA,2010,40267.817999021114
United States,USA,2015,40191.03921372647
United States,USA,2017,41573.1341550648
