Entity,Code,Year,Oil consumption - TWh
Australia,AUS,1965,200.01936
Australia,AUS,1970,290.1954
Australia,AUS,1980,367.7676
Australia,AUS,1990,374.88458
Australia,AUS,2000,455.98157
Australia,AUS,2010,519.30676
Australia,AUS,2022,574.04034
Canada,CAN,1965,642.81793
Canada,CAN,1970,854.80023
Canada,CAN,1980,1101.6031
Canada,CAN,1990,962.80804
Canada,CAN,2000,1109.1815
Canada,CAN,2010,1266.4891
Canada,CAN,2022,1185.2417
China,CHN,1965,129.06253
China,CHN,1970,332.04553
China,CHN,1980,972.5329
China,CHN,1990,1274.5724
China,CHN,2000,2626.8958
China,CHN,2010,5214.49
China,CHN,2022,7821.5244
Norway,NOR,1965,60.316517
Norway,NOR,1970,97.02358
Norway,NOR,1980,112.084496
Norway,NOR,1990,104.7378
Norway,NOR,2000,106.31958
Norway,NOR,2010,121.60488
Norway,NOR,2022,100.233475
South Africa,ZAF,1965,67.35819
South Africa,ZAF,1970,103.3002
South Africa,ZAF,1980,144.07216
South Africa,ZAF,1990,200.10172
South Africa,ZAF,2000,264.2983
South Africa,ZAF,2010,301.24677
South Africa,ZAF,2022,295.6305
United Kingdom,GBR,1965,885.7195
United Kingdom,GBR,1970,1228.7844
United Kingdom,GBR,1980,969.12396
United Kingdom,GBR,1990,1000.72107
United Kingdom,GBR,2000,952.3115
United Kingdom,GBR,2010,885.20044
United Kingdom,GBR,2022,741.0432
United States,USA,1965,6414.477
United States,USA,1970,8176.1914
United States,USA,1980,9453.472
United States,USA,1990,9306.913
United States,USA,2000,10654.134
United States,USA,2010,9891.228
United States,USA,2022,10041.679
