Entity,Code,Year,Annual CO₂ emissions from coal (per capita),Annual CO₂ emissions from oil (per capita),Annual CO₂ emissions from gas (per capita),Annual CO₂ emissions from flaring (per capita),Annual CO₂ emissions from cement (per capita),Annual CO₂ emissions from other industry (per capita)
Cambodia,KHM,2022,0.26547694,0.57352185,0.0,0.0,0.35107863,
Chad,TCD,2022,0.0,0.09897253,0.0,0.023554346,0.011150342,
Congo,COG,2022,0.0,0.2903039,0.32955214,0.573012,0.051921554,
Europe,,2022,1.6210107,2.556139,2.335109,0.11344543,0.14900278,0.083159834
Ireland,IRL,2022,0.7847385,4.24694,2.1211102,8.640069e-05,0.41862708,0.14961593
Mauritius,MUS,2022,1.3914695,1.8783212,0.0,0.0,0.0,
Micronesia (country),FSM,2022,0.0,1.3243006,0.0,0.0,0.0,
Mongolia,MNG,2022,9.473591,1.5083388,0.0,0.0,0.16884433,
Montenegro,MNE,2022,2.2495303,1.4062881,0.0,0.0,,
Niue,NIU,2022,0.0,3.8729508,0.0,0.0,0.0,
Sierra Leone,SLE,2022,0.0,0.13124847,0.0,0.0,0.0,
Solomon Islands,SLB,2022,0.0,0.41232163,0.0,0.0,0.0,
United Arab Emirates,ARE,2022,0.95168,9.040491,15.1015215,0.18464893,0.5549033,
United Kingdom,GBR,2022,0.29004592,2.2590675,2.0250452,0.047945503,0.060327336,0.037749343
Vietnam,VNM,2022,2.0481575,0.6928379,0.15088502,0.011307817,0.5963293,
