Entity,Code,Year,"Share of total deaths that are from all causes attributed to ambient particulate matter pollution, in both sexes aged age-standardized"
Kuwait,KWT,1990,13.362098
Kuwait,KWT,1995,13.976252
Kuwait,KWT,2000,14.757339
Kuwait,KWT,2005,15.339846
Kuwait,KWT,2010,15.456054
Kuwait,KWT,2015,15.228889
Kuwait,KWT,2019,14.673365
Luxembourg,LUX,1990,5.1981153
Luxembourg,LUX,1995,4.571495
Luxembourg,LUX,2000,3.7496784
Luxembourg,LUX,2005,3.4085882
Luxembourg,LUX,2010,3.3894517
Luxembourg,LUX,2015,2.3892624
Luxembourg,LUX,2019,2.1929474
Moldova,MDA,1990,6.1705804
Moldova,MDA,1995,6.420284
Moldova,MDA,2000,6.0566735
Moldova,MDA,2005,6.6420054
Moldova,MDA,2010,6.847801
Moldova,MDA,2015,5.9827423
Moldova,MDA,2019,4.971223
Netherlands,NLD,1990,6.609494
Netherlands,NLD,1995,6.031659
Netherlands,NLD,2000,5.302784
Netherlands,NLD,2005,4.4638095
Netherlands,NLD,2010,4.1964684
Netherlands,NLD,2015,3.073352
Netherlands,NLD,2019,2.889854
Thailand,THA,1990,5.345509
Thailand,THA,1995,5.7186832
Thailand,THA,2000,6.138952
Thailand,THA,2005,6.6160493
Thailand,THA,2010,6.9806314
Thailand,THA,2015,6.039042
Thailand,THA,2019,6.213239
