Entity,Code,Year,Nitrous oxide emissions from agriculture
Argentina,ARG,1990,33570000.0
Argentina,ARG,1995,34460000.0
Argentina,ARG,2000,36920000.0
Argentina,ARG,2005,40750000.0
Argentina,ARG,2010,38510000.0
Argentina,ARG,2015,40300000.0
Argentina,ARG,2020,48500000.0
Brazil,BRA,1990,97840000.0
Brazil,BRA,1995,108780000.0
Brazil,BRA,2000,111060000.0
Brazil,BRA,2005,139970000.0
Brazil,BRA,2010,155360000.0
Brazil,BRA,2015,158990000.0
Brazil,BRA,2020,178420000.0
China,CHN,1990,253820000.0
China,CHN,1995,305820000.0
China,CHN,2000,304420000.0
China,CHN,2005,331109980.0
China,CHN,2010,349600000.0
China,CHN,2015,358000000.0
China,CHN,2020,323180000.0
India,IND,1990,132080000.0
India,IND,1995,150910000.0
India,IND,2000,160980000.0
India,IND,2005,177190000.0
India,IND,2010,206800000.0
India,IND,2015,214800000.0
India,IND,2020,239730000.0
Nigeria,NGA,1990,16320000.0
Nigeria,NGA,1995,17710000.0
Nigeria,NGA,2000,20940000.0
Nigeria,NGA,2005,24000000.0
Nigeria,NGA,2010,24850000.0
Nigeria,NGA,2015,27540000.0
Nigeria,NGA,2020,31820000.0
South Africa,ZAF,1990,14650000.0
South Africa,ZAF,1995,13990000.0
South Africa,ZAF,2000,15280000.0
South Africa,ZAF,2005,14610000.0
South Africa,ZAF,2010,15140000.0
South Africa,ZAF,2015,13950000.0
South Africa,ZAF,2020,13570000.0
United States,USA,1990,159360000.0
United States,USA,1995,167590000.0
United States,USA,2000,167780000.0
United States,USA,2005,170480000.0
United States,USA,2010,175670000.0
United States,USA,2015,177080000.0
United States,USA,2020,179440000.0
