Entity,Code,Year,Deaths - Protein-energy malnutrition - Sex: Both - Age: Under 5 (Rate)
Cuba,CUB,1990,1.24
Cuba,CUB,1995,1.35
Cuba,CUB,2000,0.95
Cuba,CUB,2005,0.64
Cuba,CUB,2010,0.53
Cuba,CUB,2015,0.47
Cuba,CUB,2019,0.36
Nepal,NPL,1990,188.63
Nepal,NPL,1995,111.55
Nepal,NPL,2000,63.66
Nepal,NPL,2005,43.51
Nepal,NPL,2010,27.04
Nepal,NPL,2015,14.9
Nepal,NPL,2019,9.2
Niger,NER,1990,293.6
Niger,NER,1995,256.62
Niger,NER,2000,200.28
Niger,NER,2005,126.44
Niger,NER,2010,69.46
Niger,NER,2015,60.11
Niger,NER,2019,43.63
Nigeria,NGA,1990,54.9
Nigeria,NGA,1995,52.47
Nigeria,NGA,2000,46.71
Nigeria,NGA,2005,31.59
Nigeria,NGA,2010,23.39
Nigeria,NGA,2015,17.5
Nigeria,NGA,2019,12.53
Pakistan,PAK,1990,51.57
Pakistan,PAK,1995,40.64
Pakistan,PAK,2000,31.42
Pakistan,PAK,2005,22.96
Pakistan,PAK,2010,25.07
Pakistan,PAK,2015,26.93
Pakistan,PAK,2019,21.66
