Entity,Code,Year,Prevalence of anemia among pregnant women (%),Prevalence of anemia among children (% of children ages 6-59 months),Continent
Afghanistan,AFG,2019,36.5,44.9,
Albania,ALB,2019,24.5,30.9,
Algeria,DZA,2019,33.1,34.3,
Andorra,AND,2019,16.8,14.1,
Angola,AGO,2019,48.3,62.4,
Antigua and Barbuda,ATG,2019,19.4,17.2,
Azerbaijan,AZE,2019,35.0,24.8,
Bangladesh,BGD,2019,42.2,43.1,
Belarus,BLR,2019,23.9,17.8,
Benin,BEN,2019,58.1,71.0,
Bosnia and Herzegovina,BIH,2019,27.2,24.3,
Botswana,BWA,2019,31.4,43.3,
Brazil,BRA,2019,19.1,11.6,
Burundi,BDI,2019,44.2,58.0,
Cambodia,KHM,2019,51.5,49.0,
Cape Verde,CPV,2019,33.9,44.1,
Central African Republic,CAF,2019,51.5,73.6,
Chad,TCD,2019,45.3,66.3,
Colombia,COL,2019,21.8,22.2,
Comoros,COM,2019,38.0,53.9,
Cote d'Ivoire,CIV,2019,54.4,72.2,
El Salvador,SLV,2019,15.9,24.6,
Ethiopia,ETH,2019,29.0,52.1,
Fiji,FJI,2019,41.4,39.9,
Gabon,GAB,2019,52.5,57.9,
Gambia,GMB,2019,55.1,52.3,
Guatemala,GTM,2019,12.7,9.8,
Indonesia,IDN,2019,44.2,38.4,
Iran,IRN,2019,23.8,26.5,
Iraq,IRQ,2019,30.9,29.4,
Kazakhstan,KAZ,2019,31.4,23.0,
Kiribati,KIR,2019,41.7,49.4,
Kyrgyzstan,KGZ,2019,36.3,33.4,
Laos,LAO,2019,47.0,41.4,
Lesotho,LSO,2019,33.5,51.4,
Maldives,MDV,2019,49.3,37.8,
Mali,MLI,2019,59.0,79.0,
Myanmar,MMR,2019,47.8,49.6,
Namibia,NAM,2019,29.0,46.1,
North Korea,PRK,2019,38.8,31.6,
Pakistan,PAK,2019,44.0,53.0,
Rwanda,RWA,2019,23.5,37.9,
South Sudan,SSD,2019,40.0,60.5,
Tanzania,TZA,2019,48.1,56.1,
World,OWID_WRL,2019,36.5,39.8,
