Entity,Code,Year,Under-five mortality rate
Bosnia and Herzegovina,BIH,1960,15.851
Bosnia and Herzegovina,BIH,2021,0.56006
Bosnia and Herzegovina,BIH,2000,0.98880273
Cuba,CUB,1932,17.342999
Cuba,CUB,1960,5.400099
Cuba,CUB,2021,0.5001638
Cuba,CUB,1980,2.2057526
Cuba,CUB,2000,0.881159
Egypt,EGY,2021,1.8957832
Egypt,EGY,1960,31.779888
Egypt,EGY,1980,16.827856
Egypt,EGY,2000,4.670007
Kiribati,KIR,1960,19.921207
Kiribati,KIR,2021,4.822911
Kiribati,KIR,1980,11.903099
Kiribati,KIR,2000,6.7870965
Middle East and North Africa (UNICEF),,2000,4.339959
Middle East and North Africa (UNICEF),,2021,2.1894827
Western Europe (UNICEF),,2000,0.6203116
Western Europe (UNICEF),,2021,0.36823887
