Entity,Code,Year,Per-capita greenhouse gas emissions in CO₂ equivalents
Brazil,BRA,1850,6.3815403
Brazil,BRA,1860,6.3332033
Brazil,BRA,1880,6.3257413
Brazil,BRA,1900,8.29367
Brazil,BRA,1920,13.294513
Brazil,BRA,1940,9.458645
Brazil,BRA,1960,15.784728
Brazil,BRA,1980,13.9618435
Brazil,BRA,2000,14.086677
Brazil,BRA,2021,10.0310755
China,CHN,1850,1.0829597
China,CHN,1860,1.0152969
China,CHN,1880,0.8310964
China,CHN,1900,0.98415387
China,CHN,1920,1.3225442
China,CHN,1940,1.4370455
China,CHN,1960,2.6056736
China,CHN,1980,2.8332627
China,CHN,2000,4.2088356
China,CHN,2021,9.61547
India,IND,1850,1.459526
India,IND,1860,1.1961759
India,IND,1880,1.246625
India,IND,1900,1.3374755
India,IND,1920,1.5611466
India,IND,1940,1.829861
India,IND,1960,2.1299224
India,IND,1980,1.6220585
India,IND,2000,1.8960646
India,IND,2021,2.771403
World,OWID_WRL,1850,3.1305192
World,OWID_WRL,1860,3.4302096
World,OWID_WRL,1880,4.0575867
World,OWID_WRL,1900,5.025043
World,OWID_WRL,1920,5.5640554
World,OWID_WRL,1940,5.869933
World,OWID_WRL,1960,7.3790665
World,OWID_WRL,1980,7.4139504
World,OWID_WRL,2000,6.7237115
World,OWID_WRL,2021,6.90241
