Entity,Code,Year,Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Rate)
Antigua and Barbuda,ATG,1990,4.7
Antigua and Barbuda,ATG,1995,5.04
Antigua and Barbuda,ATG,2000,4.43
Antigua and Barbuda,ATG,2005,4.37
Antigua and Barbuda,ATG,2010,5.12
Antigua and Barbuda,ATG,2015,5.61
Antigua and Barbuda,ATG,2019,6.03
Equatorial Guinea,GNQ,1990,1.23
Equatorial Guinea,GNQ,1995,1.06
Equatorial Guinea,GNQ,2000,0.95
Equatorial Guinea,GNQ,2005,0.95
Equatorial Guinea,GNQ,2010,1.02
Equatorial Guinea,GNQ,2015,1.09
Equatorial Guinea,GNQ,2019,1.15
Micronesia (country),FSM,1990,3.59
Micronesia (country),FSM,1995,3.86
Micronesia (country),FSM,2000,3.91
Micronesia (country),FSM,2005,3.95
Micronesia (country),FSM,2010,4.2
Micronesia (country),FSM,2015,4.42
Micronesia (country),FSM,2019,4.73
