Entity,Code,Year,Annual greenhouse gas emissions in CO₂ equivalents
China,CHN,1850,443820220.0
China,CHN,1860,382834460.0
China,CHN,1880,304006000.0
China,CHN,1900,389655500.0
China,CHN,1920,612775100.0
China,CHN,1940,734766660.0
China,CHN,1960,1704555300.0
China,CHN,1980,2783319300.0
China,CHN,2000,5320385000.0
China,CHN,2021,13710636000.0
European Union (28),,1850,712057200.0
European Union (28),,1860,791639700.0
European Union (28),,1880,1204475000.0
European Union (28),,1900,1838545000.0
European Union (28),,1920,2000730000.0
European Union (28),,1940,2460058600.0
European Union (28),,1960,3701540900.0
European Union (28),,1980,5909323000.0
European Union (28),,2000,5038824000.0
European Union (28),,2021,3802795500.0
United Kingdom,GBR,1850,190102770.0
United Kingdom,GBR,1860,238560850.0
United Kingdom,GBR,1880,409387680.0
United Kingdom,GBR,1900,558795840.0
United Kingdom,GBR,1920,608896450.0
United Kingdom,GBR,1940,618441800.0
United Kingdom,GBR,1960,782952100.0
United Kingdom,GBR,1980,781259970.0
United Kingdom,GBR,2000,706154050.0
United Kingdom,GBR,2021,420895070.0
United States,USA,1850,831448450.0
United States,USA,1860,1083842800.0
United States,USA,1880,1689365800.0
United States,USA,1900,2306090000.0
United States,USA,1920,3016772400.0
United States,USA,1940,3068817000.0
United States,USA,1960,3728972300.0
United States,USA,1980,5907320000.0
United States,USA,2000,7048426000.0
United States,USA,2021,5925714400.0
