Entity,Code,Year,Annual share of the total land area burnt by wildfires
Chile,CHL,2012,0.36452228
Chile,CHL,2013,0.3839593
Chile,CHL,2014,0.43341482
Chile,CHL,2015,0.6770543
Chile,CHL,2016,0.450485
Chile,CHL,2017,1.189474
Chile,CHL,2018,0.3684406
Chile,CHL,2019,0.450748
Chile,CHL,2020,0.4665389
Chile,CHL,2021,0.39355093
Chile,CHL,2022,0.53674245
Chile,CHL,2023,0.9739448
China,CHN,2012,0.26709735
China,CHN,2013,0.37108234
China,CHN,2014,0.5788364
China,CHN,2015,0.4932235
China,CHN,2016,0.28107062
China,CHN,2017,0.4000985
China,CHN,2018,0.15096931
China,CHN,2019,0.28034404
China,CHN,2020,0.31685847
China,CHN,2021,0.26841486
China,CHN,2022,0.26461756
China,CHN,2023,0.28205243
Kuwait,KWT,2012,0.053030305
Kuwait,KWT,2013,0.00976431
Kuwait,KWT,2014,0.06975309
Kuwait,KWT,2015,0.049607184
Kuwait,KWT,2016,0.17901234
Kuwait,KWT,2017,0.059708193
Kuwait,KWT,2018,0.034960717
Kuwait,KWT,2019,0.15533109
Kuwait,KWT,2020,0.06245791
Kuwait,KWT,2021,0.03367003
Kuwait,KWT,2022,0.044949494
Kuwait,KWT,2023,0.0
Montserrat,MSR,2012,0.0
Montserrat,MSR,2013,0.0
Montserrat,MSR,2014,0.0
Montserrat,MSR,2015,0.0
Montserrat,MSR,2016,0.0
Montserrat,MSR,2017,0.0
Montserrat,MSR,2018,0.0
Montserrat,MSR,2019,0.0
Montserrat,MSR,2020,3.01
Montserrat,MSR,2021,0.0
Montserrat,MSR,2022,0.0
Montserrat,MSR,2023,0.0
Nepal,NPL,2012,4.414921
Nepal,NPL,2013,3.1346445
Nepal,NPL,2014,5.0115576
Nepal,NPL,2015,1.0173936
Nepal,NPL,2016,9.800822
Nepal,NPL,2017,2.59167
Nepal,NPL,2018,2.8474522
Nepal,NPL,2019,4.8377767
Nepal,NPL,2020,1.0756013
Nepal,NPL,2021,9.341195
Nepal,NPL,2022,2.7996466
Nepal,NPL,2023,4.303499
World,OWID_WRL,2012,3.241928
World,OWID_WRL,2013,2.873727
World,OWID_WRL,2014,3.0095592
World,OWID_WRL,2015,3.2851927
World,OWID_WRL,2016,3.0824685
World,OWID_WRL,2017,3.0501235
World,OWID_WRL,2018,2.4421287
World,OWID_WRL,2019,3.0182984
World,OWID_WRL,2020,3.027686
World,OWID_WRL,2021,2.8460531
World,OWID_WRL,2022,2.6966126
World,OWID_WRL,2023,2.9623232
World,OWID_WRL,2024,0.11302313
