Entity,Code,Year,Share of one person households,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2018,,2060.699,36686788.0,
Africa,,2018,,,1295265310.0,
Angola,AGO,2018,,6878.5933,31273538.0,
Asia,,2018,,,4588802751.0,
Bulgaria,BGR,2018,33.3,22210.123,7117424.0,
Burundi,BDI,2018,,740.44824,11493476.0,
Cyprus,CYP,2018,20.8,40099.836,1218834.0,
Czechia,CZE,2018,28.7,39941.285,10534598.0,
Denmark,DNK,2018,44.1,56178.773,5766689.0,
Dominican Republic,DOM,2018,,17484.121,10765532.0,
Estonia,EST,2018,40.3,34979.867,1322146.0,
Ethiopia,ETH,2018,,2067.4565,111129440.0,
Europe,,2018,,,746577709.0,
Germany,DEU,2018,41.7,53431.395,82896696.0,
Ghana,GHA,2018,,5125.2495,30870648.0,
Greece,GRC,2018,25.7,29141.174,10633275.0,
Hungary,HUN,2018,33.2,31122.502,9776361.0,
Ireland,IRL,2018,,83340.39,4834506.0,
Italy,ITA,2018,32.6,42045.92,59877432.0,
Japan,JPN,2018,,41739.203,126255872.0,
Kenya,KEN,2018,,4464.813,49953300.0,
Lesotho,LSO,2018,,2541.4526,2198030.0,
Lithuania,LTU,2018,37.7,35446.707,2876128.0,
Luxembourg,LUX,2018,33.6,114164.47,607920.0,
Malawi,MWI,2018,,1478.4248,18367886.0,
Mexico,MEX,2018,,20278.217,124013864.0,
Myanmar,MMR,2018,,4556.2812,52666016.0,
Namibia,NAM,2018,,10266.171,2405682.0,
Nepal,NPL,2018,,3719.3079,28506718.0,
Netherlands,NLD,2018,38.3,56060.914,17286042.0,
Nigeria,NGA,2018,,5089.778,198387616.0,
North America,,2018,,,585864285.0,
Oceania,,2018,,,42540030.0,
Pakistan,PAK,2018,,5113.434,219731488.0,
Philippines,PHL,2018,,8365.732,108568832.0,
Portugal,PRT,2018,23.1,34040.727,10289833.0,
Romania,ROU,2018,29.2,28741.227,19606778.0,
Serbia,SRB,2018,22.3,17455.945,7433825.0,
Sierra Leone,SLE,2018,,1610.1619,7861287.0,
South America,,2018,,,424740741.0,
Spain,ESP,2018,25.5,40255.254,46792044.0,
Tanzania,TZA,2018,,2510.9663,58090444.0,
Turkey,TUR,2018,,28157.979,82809304.0,
Uganda,UGA,2018,,2186.9072,41515400.0,
United States,USA,2018,28.01247787,61355.65,332140032.0,
