Entity,Code,Year,Population in urban agglomerations of more than 1 million
Armenia,ARM,1960,537759
Armenia,ARM,1970,778158
Armenia,ARM,1980,1041587
Armenia,ARM,1990,1174524
Armenia,ARM,2000,1111301
Armenia,ARM,2010,1065597
Armenia,ARM,2021,1089181
Greece,GRC,1960,1813686
Greece,GRC,1970,2484538
Greece,GRC,1980,2987463
Greece,GRC,1990,3069647
Greece,GRC,2000,3179434
Greece,GRC,2010,3170434
Greece,GRC,2021,3153255
Morocco,MAR,1960,1621733
Morocco,MAR,1970,2550432
Morocco,MAR,1980,3709726
Morocco,MAR,1990,4964826
Morocco,MAR,2000,6101307
Morocco,MAR,2010,7029966
Morocco,MAR,2021,8184281
Mozambique,MOZ,1960,200125
Mozambique,MOZ,1970,433037
Mozambique,MOZ,1980,751512
Mozambique,MOZ,1990,1095109
Mozambique,MOZ,2000,1517480
Mozambique,MOZ,2010,1964036
Mozambique,MOZ,2021,2869944
Norway,NOR,1960,578044
Norway,NOR,1970,643137
Norway,NOR,1980,643036
Norway,NOR,1990,684027
Norway,NOR,2000,773811
Norway,NOR,2010,897916
Norway,NOR,2021,1056180
