Entity,Code,Year,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)"
Bangladesh,BGD,1991,26.144
Bangladesh,BGD,1995,26.765
Bangladesh,BGD,2000,27.401
Bangladesh,BGD,2005,26.84
Bangladesh,BGD,2010,29.122
Bangladesh,BGD,2015,30.092
Bangladesh,BGD,2021,32.124
Mauritius,MUS,1991,33.339
Mauritius,MUS,1995,33.496
Mauritius,MUS,2000,33.961
Mauritius,MUS,2005,34.332
Mauritius,MUS,2010,37.225
Mauritius,MUS,2015,40.505
Mauritius,MUS,2021,38.495
Nepal,NPL,1991,79.918
Nepal,NPL,1995,80.428
Nepal,NPL,2000,80.219
Nepal,NPL,2005,79.229
Nepal,NPL,2010,78.411
Nepal,NPL,2015,79.225
Nepal,NPL,2021,74.809
Saint Vincent and the Grenadines,VCT,1991,34.489
Saint Vincent and the Grenadines,VCT,1995,37.112
Saint Vincent and the Grenadines,VCT,2000,39.626
Saint Vincent and the Grenadines,VCT,2005,42.656
Saint Vincent and the Grenadines,VCT,2010,43.657
Saint Vincent and the Grenadines,VCT,2015,44.013
Saint Vincent and the Grenadines,VCT,2021,41.82
Sao Tome and Principe,STP,1991,30.312
Sao Tome and Principe,STP,1995,30.588
Sao Tome and Principe,STP,2000,31.056
Sao Tome and Principe,STP,2005,28.077
Sao Tome and Principe,STP,2010,29.442
Sao Tome and Principe,STP,2015,30.122
Sao Tome and Principe,STP,2021,28.619
Turkey,TUR,1991,31.922
Turkey,TUR,1995,28.876
Turkey,TUR,2000,25.141
Turkey,TUR,2005,20.775
Turkey,TUR,2010,24.153
Turkey,TUR,2015,27.637
Turkey,TUR,2021,26.871
