Entity,Code,Year,Number of articles - Field: All
China,CHN,2010,71354
China,CHN,2012,68629
China,CHN,2014,71472
China,CHN,2016,76198
China,CHN,2018,108320
China,CHN,2020,168098
China,CHN,2021,177078
Germany,DEU,2010,7063
Germany,DEU,2012,7747
Germany,DEU,2014,8349
Germany,DEU,2016,8969
Germany,DEU,2018,10770
Germany,DEU,2020,14567
Germany,DEU,2021,15445
United Kingdom,GBR,2010,7139
United Kingdom,GBR,2012,7601
United Kingdom,GBR,2014,8798
United Kingdom,GBR,2016,10055
United Kingdom,GBR,2018,12445
United Kingdom,GBR,2020,16890
United Kingdom,GBR,2021,18147
United States,USA,2010,25043
United States,USA,2012,27186
United States,USA,2014,29664
United States,USA,2016,33641
United States,USA,2018,44393
United States,USA,2020,61121
United States,USA,2021,61823
World,OWID_WRL,2010,184753
World,OWID_WRL,2012,196566
World,OWID_WRL,2014,220778
World,OWID_WRL,2016,247755
World,OWID_WRL,2018,323880
World,OWID_WRL,2020,457523
World,OWID_WRL,2021,483978
