Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Male - Wealth_quintile: All wealth quintiles,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Female - Wealth_quintile: All wealth quintiles,Population (historical estimates),Continent
Africa,,2021,,,1393676724.0,
Angola,AGO,2021,7.520791,6.3285036,34503776.0,
Asia,,2021,,,4693332132.0,
Brazil,BRA,2021,1.5981066,1.2748077,214326224.0,
Central African Republic,CAF,2021,10.673884,9.27191,5457165.0,
China,CHN,2021,0.7312132,0.65365195,1425893504.0,
Democratic Republic of Congo,COD,2021,8.548974,7.2094803,95894120.0,
Egypt,EGY,2021,2.017856,1.7664286,109262184.0,
Ethiopia,ETH,2021,5.22183,4.1032043,120283024.0,
Europe,,2021,0.48109597,0.39863354,746417727.0,
Guyana,GUY,2021,3.1026452,2.4107182,804571.0,
India,IND,2021,3.0279136,3.0956008,1407563904.0,
Indonesia,IDN,2021,2.4403958,1.9795177,273753184.0,
Kenya,KEN,2021,4.0433016,3.3710384,53005616.0,
Liberia,LBR,2021,8.18933,6.994685,5193422.0,
Mali,MLI,2021,10.202641,9.194271,21904990.0,
Myanmar,MMR,2021,4.581071,3.7629368,53798088.0,
Nigeria,NGA,2021,11.685318,10.429028,213401328.0,
North America,,2021,0.66763574,0.55609,597123384.0,
Oceania,,2021,2.200956,1.8471321,44492065.0,
Pakistan,PAK,2021,6.754252,5.8832917,231402112.0,
Russia,RUS,2021,0.55632985,0.451811,145102752.0,
Singapore,SGP,2021,0.22515848,0.19142143,5941063.0,
South America,,2021,,,434254167.0,
Sudan,SDN,2021,5.9699793,4.9778423,45657204.0,
