Entity,Code,Year,"Crude divorce rate (per 1,000 inhabitants)"
Chile,CHL,2010,0.1
Ireland,IRL,2000,0.69999999
Ireland,IRL,2010,0.69999999
Mexico,MEX,1970,0.60000002
Mexico,MEX,2000,0.5
Mexico,MEX,2010,0.80000001
Norway,NOR,1960,0.69999999
Norway,NOR,1970,0.89999998
Norway,NOR,1980,1.6
Norway,NOR,1990,2.4000001
Norway,NOR,2000,2.2
Norway,NOR,2010,2.0999999
South Korea,KOR,1970,0.40000001
South Korea,KOR,1980,0.60000002
South Korea,KOR,1990,1.1
South Korea,KOR,2000,2.5
South Korea,KOR,2010,2.3
Turkey,TUR,1970,0.30000001
Turkey,TUR,2010,1.6
United Kingdom,GBR,1970,1.0
United Kingdom,GBR,1980,2.5999999
United Kingdom,GBR,1990,2.7
United Kingdom,GBR,2000,2.5999999
United Kingdom,GBR,2010,2.0999999
United States,USA,1960,2.2
United States,USA,1970,3.5
United States,USA,1980,5.1999998
United States,USA,1990,4.6999998
United States,USA,2000,4.0999999
United States,USA,2010,3.5999999
United States,USA,2018,2.9000001
