Entity,Code,Year,Gas (TWh growth)
Africa,,1966,1.1261616
Africa,,1970,3.028325
Africa,,1980,38.071167
Africa,,1990,27.174316
Africa,,2000,52.802704
Africa,,2010,40.181458
Africa,,2022,-59.666748
China,CHN,1966,2.4188786
China,CHN,1970,9.171581
China,CHN,1980,-2.4188843
China,CHN,1990,2.5095673
China,CHN,2000,30.326706
China,CHN,2010,186.50024
China,CHN,2022,-45.631836
Denmark,DNK,1990,1.3031254
Denmark,DNK,2000,-0.67432785
Denmark,DNK,2010,6.0118675
Denmark,DNK,2022,-6.7089157
Indonesia,IDN,1966,0.10149956
Indonesia,IDN,1970,0.46690083
Indonesia,IDN,1980,-4.364502
Indonesia,IDN,1990,5.3717957
Indonesia,IDN,2000,5.134247
Indonesia,IDN,2010,19.467834
Indonesia,IDN,2022,-0.65701294
United Kingdom,GBR,1966,-0.2093401
United Kingdom,GBR,1970,56.207783
United Kingdom,GBR,1980,-1.3955994
United Kingdom,GBR,1990,21.713257
United Kingdom,GBR,2000,34.540283
United Kingdom,GBR,2010,72.69141
United Kingdom,GBR,2022,-58.464905
