Entity,Code,Year,"Deaths that are from all causes attributed to low physical activity, in both sexes aged all ages"
Belize,BLZ,1990,16.791847
Belize,BLZ,1995,19.437212
Belize,BLZ,2000,28.813896
Belize,BLZ,2005,29.78129
Belize,BLZ,2010,32.434914
Belize,BLZ,2015,36.697277
Belize,BLZ,2019,43.821373
Cambodia,KHM,1990,224.52103
Cambodia,KHM,1995,260.6111
Cambodia,KHM,2000,301.87045
Cambodia,KHM,2005,367.7444
Cambodia,KHM,2010,462.16708
Cambodia,KHM,2015,576.4923
Cambodia,KHM,2019,681.4365
England,,1990,15732.726
England,,1995,15138.251
England,,2000,13645.866
England,,2005,11948.893
England,,2010,10389.443
England,,2015,10420.254
England,,2019,10925.877
Honduras,HND,1990,45.368355
Honduras,HND,1995,69.48082
Honduras,HND,2000,88.2844
Honduras,HND,2005,108.74172
Honduras,HND,2010,143.72926
Honduras,HND,2015,185.58209
Honduras,HND,2019,213.50584
Latvia,LVA,1990,993.28656
Latvia,LVA,1995,1040.2749
Latvia,LVA,2000,870.2318
Latvia,LVA,2005,933.50555
Latvia,LVA,2010,948.9693
Latvia,LVA,2015,979.77856
Latvia,LVA,2019,1083.8424
Northern Ireland,,1990,671.6775
Northern Ireland,,1995,792.39905
Northern Ireland,,2000,691.9844
Northern Ireland,,2005,604.7481
Northern Ireland,,2010,556.9595
Northern Ireland,,2015,518.4915
Northern Ireland,,2019,551.0343
San Marino,SMR,1990,3.7707775
San Marino,SMR,1995,4.3787827
San Marino,SMR,2000,4.9721828
San Marino,SMR,2005,5.929841
San Marino,SMR,2010,6.3491564
San Marino,SMR,2015,6.8633013
San Marino,SMR,2019,7.264277
